instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, ref_size, ref_nodes, ref_time, match
g47,g49,ll,33,40,8039176963,1000.01,1,671465301,96.9159,6421219867,6421219867,0,,,0,MISSING_DATA
g47,g50,ll,21,33,7265811614,1000.01,1,1832978166,248.28,6449429192,6449429192,0,,,0,MISSING_DATA
g47,g51,ll,33,38,7633747806,1000.02,1,35903536,4.80702,7101819799,7101819799,0,,,0,MISSING_DATA
g47,g52,ll,39,43,6575007368,1000.01,1,2830119117,448.705,5873413089,5873413089,0,,,0,MISSING_DATA
g47,g53,ll,32,34,6890354931,1000.01,1,14157934,1.86032,5249841454,5249841454,0,,,0,MISSING_DATA
g47,g54,ll,41,52,4465170124,1000.02,1,2755017731,595.982,3263191642,3263191642,0,,,0,MISSING_DATA
g47,g55,ll,46,63,5260815450,1000.01,1,3200984571,465.273,4080976859,4080976859,0,,,0,MISSING_DATA
g47,g56,ll,43,61,4622035987,1000.01,1,744666826,155.57,3472439710,3472439710,0,,,0,MISSING_DATA
g47,g57,ll,24,17,2527416161,1000.01,1,1096693,0.463799,2282570332,2282570332,0,,,0,MISSING_DATA
g47,g58,ll,36,40,3036443031,1000.02,1,77085422,23.5987,2857166182,2857166182,0,,,0,MISSING_DATA
g47,g59,ll,37,38,4058630844,1000.02,1,253638633,57.0701,3682257527,3682257527,0,,,0,MISSING_DATA
g47,g60,ll,38,45,4750453789,1000.01,1,944381715,204.153,3895915099,3895915099,0,,,0,MISSING_DATA
g47,g61,ll,40,43,3611325974,1000.01,1,175506935,37.4689,2728109817,2728109817,0,,,0,MISSING_DATA
g47,g62,ll,37,42,2459453264,1000.02,1,2066105480,811.879,2077879547,2077879547,0,,,0,MISSING_DATA
g47,g63,ll,42,58,1926491402,1000.02,1,176533475,88.4143,1547491299,1547491299,0,,,0,MISSING_DATA
g47,g64,ll,38,57,4529199029,1000.02,1,366760425,67.3579,3319796531,3319796531,0,,,0,MISSING_DATA
g47,g65,ll,41,52,1875400527,1000.02,1,711350613,355.61,1556620828,1556620828,0,,,0,MISSING_DATA
g47,g66,ll,43,51,1989116073,1000.01,1,135215126,67.8737,1540740141,1540740141,0,,,0,MISSING_DATA
g47,g67,ll,37,41,1768332876,1000.02,1,6131725,3.36518,1369213971,1369213971,0,,,0,MISSING_DATA
g47,g68,ll,47,76,2546766606,1000.02,1,433235551,159.066,1739439806,1739439806,0,,,0,MISSING_DATA
g47,g69,ll,41,50,2876932735,1000.02,1,914243411,331.808,2105562758,2105562758,0,,,0,MISSING_DATA
g47,g70,ll,43,45,2383202076,1000.01,1,1792634811,794.476,1824540645,1824540645,0,,,0,MISSING_DATA
g47,g71,ll,42,53,2715718149,1000.01,1,122493823,38.9763,2037697336,2037697336,0,,,0,MISSING_DATA
g47,g72,ll,35,39,1256588775,1000.03,1,387752753,305.826,1241229497,1241229497,0,,,0,MISSING_DATA
g47,g73,ll,37,40,2050331727,1000.02,1,399831,0.145084,1827778491,1827778491,0,,,0,MISSING_DATA
g47,g74,ll,29,31,2101268188,1000.02,1,30,6.96E-05,2093683133,2093683133,0,,,0,MISSING_DATA
g47,g75,ll,34,41,3797181498,1000.02,1,824967682,197.36,3041017013,3041017013,0,,,0,MISSING_DATA
g47,g76,ll,30,28,5404486040,1000.02,1,1894640315,322.614,5303631563,5303631563,0,,,0,MISSING_DATA
g47,g77,ll,20,0,2306512856,1000.01,1,228005,0.0895773,2296808653,2296808653,0,,,0,MISSING_DATA
g47,g78,ll,43,63,1421386036,1000.02,1,16756157,10.3097,1134402352,1134402352,0,,,0,MISSING_DATA
g47,g79,ll,35,44,1400540215,1000.02,1,36,0.000188231,1223798300,1223798300,0,,,0,MISSING_DATA
g47,g80,ll,39,33,794718561,1000.02,1,528550355,649.161,744703471,744703471,0,,,0,MISSING_DATA
g47,g81,ll,39,48,1914861482,1000.02,1,201844466,58.425,1662299666,1662299666,0,,,0,MISSING_DATA
