,,ref_size,ref_size,ref_size,ref_size,ref_size,unified_size,unified_size,unified_size,unified_size,unified_size
algo,,dal,dsb,ll,mcsplit,rl,dal,dsb,ll,mcsplit,rl
instance_a,instance_b,,,,,,,,,,
026.txt,075.txt,413216.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
026.txt,077.txt,223.0,13.0,13.0,13.0,13.0,15.0,13.0,13.0,13.0,13.0
026.txt,078.txt,9534298.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
026.txt,079.txt,1185.0,8.0,8.0,8.0,8.0,10.0,8.0,8.0,8.0,8.0
026.txt,080.txt,4126.0,17.0,17.0,17.0,17.0,20.0,17.0,17.0,17.0,17.0
026.txt,081.txt,3996102.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
026.txt,082.txt,4126.0,17.0,17.0,17.0,17.0,20.0,17.0,17.0,17.0,17.0
026.txt,083.txt,197172.0,23.0,23.0,23.0,23.0,24.0,23.0,23.0,23.0,23.0
026.txt,084.txt,1329628.0,16.0,16.0,16.0,16.0,18.0,16.0,16.0,16.0,16.0
026.txt,085.txt,33758.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
026.txt,086.txt,183678.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
026.txt,087.txt,74705.0,22.0,22.0,22.0,22.0,24.0,22.0,22.0,22.0,22.0
026.txt,088.txt,4433294.0,24.0,24.0,24.0,24.0,26.0,24.0,24.0,24.0,24.0
026.txt,089.txt,15922.0,21.0,21.0,21.0,21.0,23.0,21.0,21.0,21.0,21.0
026.txt,090.txt,1141603.0,22.0,22.0,22.0,22.0,23.0,22.0,22.0,22.0,22.0
026.txt,091.txt,237545.0,22.0,22.0,22.0,22.0,23.0,22.0,22.0,22.0,22.0
026.txt,092.txt,1391.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
026.txt,093.txt,343479.0,23.0,23.0,23.0,23.0,24.0,23.0,23.0,23.0,23.0
026.txt,094.txt,76933.0,23.0,23.0,23.0,23.0,24.0,23.0,23.0,23.0,23.0
026.txt,095.txt,35749.0,21.0,21.0,21.0,21.0,23.0,21.0,21.0,21.0,21.0
026.txt,096.txt,58342.0,21.0,21.0,21.0,21.0,23.0,21.0,21.0,21.0,21.0
026.txt,097.txt,58342.0,21.0,21.0,21.0,21.0,23.0,21.0,21.0,21.0,21.0
026.txt,099.txt,268441.0,,,14.0,,18.0,14.0,14.0,14.0,14.0
026.txt,100.txt,17332.0,14.0,14.0,14.0,14.0,15.0,14.0,14.0,14.0,14.0
026.txt,101.txt,2150.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
026.txt,102.txt,959204.0,23.0,23.0,23.0,23.0,24.0,23.0,23.0,23.0,23.0
026.txt,103.txt,88676.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
026.txt,105.txt,122362806.0,,,,,25.0,,,,
026.txt,106.txt,1192301.0,23.0,23.0,23.0,23.0,24.0,23.0,23.0,23.0,23.0
026.txt,107.txt,660070.0,22.0,22.0,22.0,22.0,23.0,22.0,22.0,22.0,22.0
026.txt,108.txt,2963974.0,19.0,19.0,19.0,19.0,20.0,19.0,19.0,19.0,19.0
026.txt,109.txt,75781.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
026.txt,111.txt,9384456.0,19.0,19.0,19.0,19.0,21.0,19.0,19.0,19.0,19.0
026.txt,112.txt,10987.0,18.0,18.0,18.0,18.0,20.0,18.0,18.0,18.0,18.0
026.txt,116.txt,405187.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
026.txt,120.txt,384.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0
026.txt,121.txt,8058.0,13.0,13.0,13.0,13.0,14.0,13.0,13.0,13.0,13.0
026.txt,122.txt,236590.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
026.txt,123.txt,236590.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
026.txt,125.txt,4513.0,9.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0,9.0
026.txt,126.txt,43221.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
026.txt,137.txt,440085.0,22.0,22.0,22.0,22.0,23.0,22.0,22.0,22.0,22.0
026.txt,139.txt,48004.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
026.txt,140.txt,48004.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
026.txt,143.txt,2590501.0,21.0,21.0,21.0,21.0,22.0,21.0,21.0,21.0,21.0
026.txt,144.txt,218821.0,22.0,22.0,22.0,22.0,24.0,22.0,22.0,22.0,22.0
026.txt,145.txt,21360.0,14.0,14.0,14.0,14.0,16.0,14.0,14.0,14.0,14.0
026.txt,146.txt,59963.0,23.0,23.0,23.0,23.0,24.0,23.0,23.0,23.0,23.0
026.txt,147.txt,128112.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
026.txt,148.txt,1182.0,13.0,13.0,13.0,13.0,16.0,13.0,13.0,13.0,13.0
026.txt,149.txt,171726.0,23.0,23.0,23.0,23.0,24.0,23.0,23.0,23.0,23.0
026.txt,151.txt,194747.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
026.txt,152.txt,321184.0,24.0,24.0,24.0,24.0,25.0,24.0,24.0,24.0,24.0
026.txt,153.txt,459770.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
026.txt,156.txt,703.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0
026.txt,157.txt,298.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0
026.txt,158.txt,298.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0
026.txt,159.txt,298.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0
026.txt,160.txt,13663.0,21.0,21.0,21.0,21.0,24.0,21.0,21.0,21.0,21.0
026.txt,161.txt,1218026.0,23.0,23.0,23.0,23.0,24.0,23.0,23.0,23.0,23.0
026.txt,162.txt,1764016.0,23.0,23.0,23.0,23.0,24.0,23.0,23.0,23.0,23.0
026.txt,163.txt,437418.0,22.0,22.0,22.0,22.0,24.0,22.0,22.0,22.0,22.0
026.txt,164.txt,156431.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
026.txt,165.txt,136879.0,24.0,24.0,24.0,24.0,25.0,24.0,24.0,24.0,24.0
026.txt,166.txt,82.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
026.txt,167.txt,28281.0,16.0,16.0,16.0,16.0,18.0,16.0,16.0,16.0,16.0
026.txt,168.txt,808.0,10.0,10.0,10.0,10.0,14.0,10.0,10.0,10.0,10.0
026.txt,169.txt,348545.0,21.0,21.0,21.0,21.0,23.0,21.0,21.0,21.0,21.0
026.txt,170.txt,63831.0,20.0,20.0,20.0,20.0,21.0,20.0,20.0,20.0,20.0
026.txt,171.txt,508639.0,22.0,22.0,22.0,22.0,23.0,22.0,22.0,22.0,22.0
026.txt,172.txt,366183.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
026.txt,173.txt,62803.0,23.0,23.0,23.0,23.0,24.0,23.0,23.0,23.0,23.0
026.txt,176.txt,119837.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
026.txt,177.txt,153460.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
026.txt,192.txt,238954.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
026.txt,196.txt,4951189.0,19.0,19.0,19.0,19.0,20.0,19.0,19.0,19.0,19.0
027.txt,028.txt,171.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0,5.0,5.0
027.txt,029.txt,41.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
027.txt,030.txt,193.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0,5.0,5.0
027.txt,031.txt,78.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
027.txt,032.txt,1136.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0,7.0
027.txt,033.txt,397.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0
027.txt,034.txt,549.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
027.txt,035.txt,354.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,037.txt,379.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,038.txt,1099.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0
027.txt,041.txt,267.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0,5.0,5.0
027.txt,042.txt,513.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0
027.txt,044.txt,199.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,045.txt,81.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0
027.txt,046.txt,1016.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0
027.txt,048.txt,2292.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0
027.txt,049.txt,2329.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0
027.txt,051.txt,928.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0
027.txt,053.txt,295.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,055.txt,683.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,056.txt,1140.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0
027.txt,057.txt,121.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0
027.txt,058.txt,404.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,059.txt,266.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,061.txt,420.0,6.0,6.0,6.0,6.0,9.0,6.0,6.0,6.0,6.0
027.txt,062.txt,136.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0
027.txt,063.txt,269.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0
027.txt,064.txt,540.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0
027.txt,065.txt,571.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,066.txt,313.0,6.0,6.0,6.0,6.0,9.0,6.0,6.0,6.0,6.0
027.txt,067.txt,317.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,068.txt,201.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0
027.txt,069.txt,430.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,070.txt,488.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0,7.0
027.txt,071.txt,530.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0,5.0,5.0
027.txt,072.txt,307.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,073.txt,584.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,074.txt,684.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,075.txt,613.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0
027.txt,077.txt,191.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,078.txt,584.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,079.txt,179.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,080.txt,389.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0
027.txt,081.txt,218.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0
027.txt,082.txt,389.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0
027.txt,083.txt,684.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,084.txt,312.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0
027.txt,085.txt,2041.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0
027.txt,086.txt,3783.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0
027.txt,087.txt,702.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0
027.txt,088.txt,1820.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0
027.txt,089.txt,881.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,090.txt,649.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0
027.txt,091.txt,320.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0
027.txt,092.txt,56.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0,5.0,5.0
027.txt,093.txt,722.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0
027.txt,094.txt,570.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0
027.txt,095.txt,1055.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,096.txt,747.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,097.txt,747.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,099.txt,824.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
027.txt,100.txt,183.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,101.txt,186.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0
027.txt,102.txt,1757.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,103.txt,3176.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,105.txt,2949.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0
027.txt,106.txt,500.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0,7.0
027.txt,107.txt,388.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,108.txt,436.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,109.txt,1932.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0
027.txt,111.txt,514.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0
027.txt,112.txt,369.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,116.txt,221.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0
027.txt,120.txt,218.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,121.txt,134.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0
027.txt,122.txt,173.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0
027.txt,123.txt,173.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0
027.txt,125.txt,210.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
027.txt,126.txt,247.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0
027.txt,137.txt,281.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0
027.txt,139.txt,389.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0
027.txt,140.txt,389.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0
027.txt,143.txt,1053.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0
027.txt,144.txt,1556.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
027.txt,145.txt,349.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
027.txt,146.txt,1412.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
027.txt,147.txt,496.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0
027.txt,148.txt,304.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
027.txt,149.txt,1638.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,151.txt,1291.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0
027.txt,152.txt,1236.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0,5.0,5.0
027.txt,153.txt,1492.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0,5.0,5.0
027.txt,156.txt,197.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
027.txt,157.txt,292.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
027.txt,158.txt,292.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
027.txt,159.txt,292.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
027.txt,160.txt,1221.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,161.txt,1396.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0
027.txt,162.txt,1470.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0
027.txt,163.txt,483.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0
027.txt,164.txt,1230.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0,7.0
027.txt,165.txt,871.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0
027.txt,166.txt,204.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0
027.txt,167.txt,320.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,168.txt,232.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,169.txt,703.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,170.txt,230.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,171.txt,394.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,172.txt,829.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0
027.txt,173.txt,1188.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
027.txt,176.txt,871.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0
027.txt,177.txt,1030.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0
027.txt,192.txt,388.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0
027.txt,196.txt,311.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0
028.txt,029.txt,1047.0,7.0,7.0,7.0,7.0,10.0,7.0,7.0,7.0,7.0
028.txt,030.txt,114.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
028.txt,031.txt,290.0,6.0,6.0,6.0,6.0,9.0,6.0,6.0,6.0,6.0
028.txt,032.txt,1625730791.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
028.txt,033.txt,15795126.0,,,,,39.0,,,,
028.txt,034.txt,4036630.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
028.txt,035.txt,3972174.0,,,,,23.0,19.0,19.0,19.0,19.0
028.txt,037.txt,1014453.0,,,,,22.0,19.0,19.0,19.0,19.0
028.txt,038.txt,68391222.0,28.0,,28.0,,30.0,28.0,28.0,28.0,28.0
028.txt,041.txt,10695038.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
028.txt,044.txt,1852.0,13.0,13.0,13.0,13.0,15.0,13.0,13.0,13.0,13.0
028.txt,045.txt,75.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
028.txt,046.txt,18503481.0,24.0,,24.0,,25.0,24.0,24.0,24.0,24.0
028.txt,048.txt,5566926355.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
028.txt,049.txt,2334747.0,40.0,40.0,40.0,40.0,41.0,40.0,40.0,40.0,40.0
028.txt,051.txt,744718117.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
028.txt,053.txt,62473.0,15.0,15.0,15.0,15.0,16.0,15.0,15.0,15.0,15.0
028.txt,055.txt,2266787992.0,33.0,33.0,33.0,33.0,36.0,33.0,33.0,33.0,33.0
028.txt,057.txt,552.0,15.0,15.0,15.0,15.0,16.0,15.0,15.0,15.0,15.0
028.txt,058.txt,231651.0,16.0,16.0,16.0,16.0,17.0,16.0,16.0,16.0,16.0
028.txt,059.txt,509.0,15.0,15.0,15.0,15.0,17.0,15.0,15.0,15.0,15.0
028.txt,061.txt,32428976.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
028.txt,062.txt,326.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
028.txt,063.txt,15095.0,21.0,21.0,21.0,21.0,23.0,21.0,21.0,21.0,21.0
028.txt,065.txt,232699.0,,,,,23.0,20.0,20.0,20.0,20.0
028.txt,066.txt,2012783.0,18.0,18.0,18.0,18.0,19.0,18.0,18.0,18.0,18.0
028.txt,067.txt,4597232.0,,,,,22.0,19.0,19.0,19.0,19.0
028.txt,068.txt,1255446.0,11.0,11.0,11.0,11.0,13.0,11.0,11.0,11.0,11.0
028.txt,069.txt,115579.0,20.0,20.0,20.0,20.0,21.0,20.0,20.0,20.0,20.0
028.txt,070.txt,1395876812.0,39.0,39.0,39.0,39.0,40.0,39.0,39.0,39.0,39.0
028.txt,071.txt,210900643.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
028.txt,072.txt,2460.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
028.txt,074.txt,546691340.0,36.0,36.0,36.0,36.0,38.0,36.0,36.0,36.0,36.0
028.txt,075.txt,3191550.0,22.0,22.0,22.0,22.0,23.0,22.0,22.0,22.0,22.0
028.txt,077.txt,437.0,13.0,13.0,13.0,13.0,15.0,13.0,13.0,13.0,13.0
028.txt,079.txt,2304.0,8.0,8.0,8.0,8.0,10.0,8.0,8.0,8.0,8.0
028.txt,080.txt,7013.0,18.0,18.0,18.0,18.0,20.0,18.0,18.0,18.0,18.0
028.txt,081.txt,1421997761.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
028.txt,082.txt,7013.0,18.0,18.0,18.0,18.0,20.0,18.0,18.0,18.0,18.0
028.txt,083.txt,546691340.0,36.0,36.0,36.0,36.0,38.0,36.0,36.0,36.0,36.0
028.txt,084.txt,13149986.0,18.0,18.0,18.0,18.0,19.0,18.0,18.0,18.0,18.0
028.txt,085.txt,3983714991.0,35.0,35.0,35.0,35.0,36.0,35.0,35.0,35.0,35.0
028.txt,086.txt,4534697604.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
028.txt,087.txt,738879379.0,,37.0,,37.0,38.0,,37.0,,37.0
028.txt,088.txt,3564821869.0,39.0,39.0,39.0,39.0,40.0,39.0,39.0,39.0,39.0
028.txt,089.txt,188234375.0,,34.0,,34.0,37.0,,34.0,,34.0
028.txt,090.txt,1916853136.0,34.0,34.0,34.0,34.0,35.0,34.0,34.0,34.0,34.0
028.txt,091.txt,1620383419.0,,,,,31.0,29.0,29.0,29.0,29.0
028.txt,092.txt,3280.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
028.txt,093.txt,281145811.0,37.0,37.0,37.0,37.0,39.0,37.0,37.0,37.0,37.0
028.txt,094.txt,179858856.0,37.0,37.0,37.0,37.0,39.0,37.0,37.0,37.0,37.0
028.txt,095.txt,429487087.0,,34.0,,34.0,38.0,,34.0,,34.0
028.txt,096.txt,71631305.0,,34.0,,34.0,38.0,,34.0,,34.0
028.txt,097.txt,71631305.0,,34.0,,34.0,38.0,,34.0,,34.0
028.txt,099.txt,158081.0,,,,,19.0,14.0,14.0,14.0,14.0
028.txt,100.txt,4392.0,14.0,14.0,14.0,14.0,15.0,14.0,14.0,14.0,14.0
028.txt,101.txt,293.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
028.txt,108.txt,9638647.0,,,,,22.0,20.0,20.0,20.0,20.0
028.txt,109.txt,7907168.0,39.0,39.0,39.0,39.0,41.0,39.0,39.0,39.0,39.0
028.txt,111.txt,21772105.0,,,,,28.0,24.0,24.0,24.0,24.0
028.txt,112.txt,146157.0,19.0,19.0,19.0,19.0,20.0,19.0,19.0,19.0,19.0
028.txt,116.txt,16900004.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
028.txt,120.txt,499.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0
028.txt,121.txt,122806.0,13.0,13.0,13.0,13.0,14.0,13.0,13.0,13.0,13.0
028.txt,125.txt,164.0,9.0,9.0,9.0,9.0,12.0,9.0,9.0,9.0,9.0
028.txt,126.txt,74636651.0,27.0,,27.0,,28.0,27.0,27.0,27.0,27.0
028.txt,139.txt,3549092461.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
028.txt,140.txt,3549092461.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
028.txt,145.txt,2212.0,14.0,14.0,14.0,14.0,16.0,14.0,14.0,14.0,14.0
028.txt,146.txt,43327293.0,37.0,37.0,37.0,37.0,39.0,37.0,37.0,37.0,37.0
028.txt,147.txt,1247591144.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
028.txt,148.txt,1151.0,,,,,16.0,13.0,13.0,13.0,13.0
028.txt,149.txt,3141457774.0,,35.0,,35.0,37.0,,35.0,,35.0
028.txt,151.txt,4619788.0,39.0,39.0,39.0,39.0,40.0,39.0,39.0,39.0,39.0
028.txt,152.txt,204411839.0,39.0,39.0,39.0,39.0,40.0,39.0,39.0,39.0,39.0
028.txt,153.txt,114864328.0,39.0,39.0,39.0,39.0,41.0,39.0,39.0,39.0,39.0
028.txt,156.txt,1681.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0
028.txt,157.txt,956.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0
028.txt,158.txt,956.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0
028.txt,159.txt,956.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0
028.txt,160.txt,395579051.0,,33.0,,,38.0,,33.0,,
028.txt,161.txt,13113200.0,38.0,38.0,38.0,38.0,40.0,38.0,38.0,38.0,38.0
028.txt,163.txt,718442557.0,34.0,34.0,34.0,34.0,35.0,34.0,34.0,34.0,34.0
028.txt,164.txt,110372201.0,39.0,39.0,39.0,39.0,40.0,39.0,39.0,39.0,39.0
028.txt,165.txt,120554015.0,38.0,38.0,38.0,38.0,39.0,38.0,38.0,38.0,38.0
028.txt,166.txt,108.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
028.txt,167.txt,855528.0,16.0,16.0,16.0,16.0,18.0,16.0,16.0,16.0,16.0
028.txt,168.txt,2867.0,,,,,14.0,10.0,10.0,10.0,10.0
