,,ref_size,ref_size,ref_size,ref_size,ref_size,unified_size,unified_size,unified_size,unified_size,unified_size
algo,,dal,dsb,ll,mcsplit,rl,dal,dsb,ll,mcsplit,rl
instance_a,instance_b,,,,,,,,,,
001.txt,108.txt,1397463.0,,,,,22.0,20.0,20.0,20.0,20.0
001.txt,109.txt,19746984.0,43.0,,43.0,43.0,45.0,43.0,,43.0,43.0
001.txt,111.txt,687570245.0,,,,,26.0,,24.0,,24.0
001.txt,112.txt,7318.0,18.0,18.0,18.0,18.0,20.0,18.0,18.0,18.0,18.0
001.txt,116.txt,133853.0,18.0,18.0,18.0,18.0,19.0,18.0,18.0,18.0,18.0
001.txt,120.txt,281.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0
001.txt,121.txt,9136.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
001.txt,122.txt,1747007527.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
001.txt,123.txt,1747007527.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
001.txt,125.txt,3625.0,9.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0,9.0
001.txt,126.txt,7412.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
001.txt,145.txt,307.0,14.0,14.0,14.0,14.0,16.0,14.0,14.0,14.0,14.0
001.txt,148.txt,1034.0,,,,,15.0,13.0,13.0,13.0,13.0
001.txt,152.txt,17295.0,,,,,46.0,,,,
001.txt,153.txt,9488.0,,,,,46.0,,,,
001.txt,156.txt,645.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0
001.txt,157.txt,555.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0
001.txt,158.txt,555.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0
001.txt,159.txt,555.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0
001.txt,161.txt,826648515.0,43.0,43.0,43.0,43.0,44.0,43.0,43.0,43.0,43.0
001.txt,163.txt,3050751966.0,,,,,34.0,,33.0,,33.0
001.txt,164.txt,9407809.0,43.0,43.0,43.0,43.0,45.0,43.0,43.0,43.0,43.0
001.txt,165.txt,2038098425.0,42.0,42.0,42.0,42.0,43.0,42.0,42.0,42.0,42.0
001.txt,166.txt,105.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
001.txt,167.txt,36252.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
001.txt,168.txt,651.0,,,,,14.0,10.0,10.0,10.0,10.0
001.txt,169.txt,4946618.0,,,,,33.0,31.0,31.0,31.0,31.0
001.txt,170.txt,268.0,22.0,22.0,22.0,22.0,24.0,22.0,22.0,22.0,22.0
001.txt,171.txt,37428078.0,31.0,31.0,31.0,31.0,32.0,31.0,31.0,31.0,31.0
001.txt,192.txt,21158782.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
001.txt,196.txt,6680310.0,,,,,22.0,20.0,20.0,20.0,20.0
002.txt,003.txt,106.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
002.txt,004.txt,101.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0
002.txt,008.txt,1796.0,16.0,16.0,16.0,16.0,17.0,16.0,16.0,16.0,16.0
002.txt,010.txt,26374.0,15.0,15.0,15.0,15.0,16.0,15.0,15.0,15.0,15.0
002.txt,012.txt,1341.0,,,,,18.0,12.0,12.0,12.0,12.0
002.txt,017.txt,254292310.0,,,,,27.0,26.0,26.0,26.0,26.0
