instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, ref_size, ref_nodes, ref_time, match
g10,g41,symsplit,34,42,6744111661,653.721,0,6160536212,586.051,4788469116,4788469116,6450741,34,6744111661,648.888,PASS
g10,g42,symsplit,31,39,8854107137,1000.02,1,1830788723,196.73,6731907617,6731907617,556754043,,,,MISSING_DATA
g10,g43,symsplit,31,37,9633112511,1000.02,1,2562684289,257.695,7883106196,7883106196,1284636432,,,,MISSING_DATA
g10,g44,symsplit,32,40,10397934073,1000.02,1,6819776111,637.181,9154586621,9154586621,734406391,,,,MISSING_DATA
g10,g45,symsplit,32,40,10505859965,1000.02,1,7343598297,687.482,9183259279,9183259279,747449845,,,,MISSING_DATA
g10,g46,symsplit,33,43,7887085809,1000.02,1,51014785,5.67675,5757753786,5757753786,21539829,,,,MISSING_DATA
g10,g47,symsplit,33,43,7868668253,1000.02,1,51014785,5.68539,5743406049,5743406049,21416987,,,,MISSING_DATA
g10,g48,symsplit,33,41,7916884359,1000.02,1,4052081822,502.738,5686022374,5686022374,17990942,,,,MISSING_DATA
g10,g49,symsplit,30,39,10069167930,1000.02,1,130020900,17.3871,7904939032,7904939032,79383384,,,,MISSING_DATA
g10,g50,symsplit,17,19,10475730981,1000.01,1,1127691339,101.419,8696983319,8696983319,745468825,,,,MISSING_DATA
g10,g51,symsplit,30,31,7630296621,1000.02,1,1136966125,158.668,6822248960,6822248960,1664694492,,,,MISSING_DATA
g10,g52,symsplit,29,33,9323170407,1000.02,1,79198529,6.35792,7533734617,7533734617,2537989411,,,,MISSING_DATA
g10,g53,symsplit,25,29,18762369217,1000.03,1,29277152,1.70948,13723454355,13723454355,446397,,,,MISSING_DATA
g10,g54,symsplit,32,42,8481979896,1000.02,1,2099299082,220.869,6674789313,6674789313,14600339,,,,MISSING_DATA
g10,g55,symsplit,30,35,10978293713,1000.01,1,40388711,3.20973,8604211513,8604211513,5933242,,,,MISSING_DATA
g10,g56,symsplit,32,41,8527128750,1000.01,1,1262547,0.106923,6667002820,6667002820,8333134,,,,MISSING_DATA
g10,g57,symsplit,22,15,806409317,1000.01,1,378427544,590.73,604411391,604411391,3640823795,,,,MISSING_DATA
g10,g58,symsplit,29,30,2287036901,1000.02,1,247156938,116.282,1968062643,1968062643,3346135506,,,,MISSING_DATA
g10,g59,symsplit,28,29,1959862749,1000.01,1,41500642,22.9561,1763554316,1763554316,3232947094,,,,MISSING_DATA
g10,g60,symsplit,30,32,4718330652,1000.01,1,1241958308,258.776,4156636277,4156636277,1155646066,,,,MISSING_DATA
g10,g61,symsplit,29,32,9595325132,1000.01,1,1427369015,126.676,7232262192,7232262192,982044,,,,MISSING_DATA
g10,g62,symsplit,29,32,4924813802,1000.01,1,53559624,9.89334,4768123520,4768123520,701032143,,,,MISSING_DATA
g10,g63,symsplit,35,53,9675647932,1000.03,1,324450702,34.7606,6584061905,6584061905,1389595,,,,MISSING_DATA
g10,g64,symsplit,32,39,8964263777,1000.01,1,432563923,43.6063,7221584090,7221584090,36165719,,,,MISSING_DATA
g10,g65,symsplit,32,43,6360367894,1000.01,1,3213536140,482.915,5232565202,5232565202,1396412,,,,MISSING_DATA
g10,g66,symsplit,32,43,6351437293,1000.01,1,3213536140,483.123,5225384760,5225384760,1396412,,,,MISSING_DATA
g10,g67,symsplit,27,25,8495263572,1000.02,1,8347635,0.481203,7271931414,7271931414,513135,,,,MISSING_DATA
g10,g68,symsplit,37,64,5156828631,1000.02,1,4910,0.00100296,3425936767,3425936767,14594,,,,MISSING_DATA
g10,g69,symsplit,33,42,7592567630,1000.02,1,12857132,1.40859,5672194348,5672194348,1063967,,,,MISSING_DATA
g10,g70,symsplit,32,41,6281939957,1000.02,1,21039072,4.1623,4669018516,4669018516,76437839,,,,MISSING_DATA
g10,g71,symsplit,33,43,8192324363,1000.02,1,107690350,13.7039,5979761577,5979761577,102650,,,,MISSING_DATA
g10,g72,symsplit,26,21,106354609,1000.02,1,3195722,30.3746,88176661,88176661,2272181972,,,,MISSING_DATA
g10,g73,symsplit,30,33,2818555778,1000.01,1,581841926,201.769,2515041235,2515041235,1199006524,,,,MISSING_DATA
g10,g74,symsplit,22,18,679134004,1000.02,1,22,2.66E-05,652828317,652828317,3235715406,,,,MISSING_DATA
g10,g75,symsplit,26,25,1556831965,1000.03,1,1190401095,926.811,1338474187,1338474187,1947189327,,,,MISSING_DATA
g10,g76,symsplit,18,10,4175614625,1000.02,1,113360,0.0276574,3923404975,3923404975,1315141507,,,,MISSING_DATA
g10,g77,symsplit,12,0,2309131403,1000.02,1,12,1.74E-05,2282769467,2282769467,143952073,,,,MISSING_DATA
g10,g78,symsplit,31,45,13124905390,1000.02,1,94350065,6.78158,10951629349,10951629349,1294237,,,,MISSING_DATA
g10,g79,symsplit,32,43,12591729742,1000.01,1,32,2.73E-05,8851417464,8851417464,38727618,,,,MISSING_DATA
g10,g80,symsplit,30,31,614014614,1000.01,1,249602644,317.923,520181104,520181104,834199150,,,,MISSING_DATA
g10,g81,symsplit,30,36,7184521338,1000.02,1,3404794445,474.591,6199234143,6199234143,309919,,,,MISSING_DATA
g10,g82,symsplit,30,36,6995483000,1000.01,1,3404794445,476.77,6036755901,6036755901,309919,,,,MISSING_DATA
g10,g83,symsplit,31,39,11461696755,1000.02,1,29440831,2.29501,8353386264,8353386264,2755878,,,,MISSING_DATA
g10,g84,symsplit,29,38,7075984850,1000.02,1,187169498,35.4684,6486091155,6486091155,129797622,,,,MISSING_DATA
g10,g85,symsplit,27,26,1327155682,1000.02,1,250134,0.0396375,1176047014,1176047014,196,,,,MISSING_DATA
g10,g86,symsplit,27,26,1573908397,1000.02,1,250134,0.029807,1420693832,1420693832,204,,,,MISSING_DATA
g10,g87,symsplit,31,39,13987857334,1000.01,1,960059856,70.602,11177358230,11177358230,34162641,,,,MISSING_DATA
g10,g88,symsplit,32,42,13091827580,1000.01,1,372323,0.0252235,10958536844,10958536844,5957480,,,,MISSING_DATA
g10,g89,symsplit,28,27,11442356302,1000.02,1,1006324,0.0564561,8241002835,8241002835,593946,,,,MISSING_DATA
g10,g90,symsplit,33,43,12544171888,1000.02,1,8667821665,714.506,9003081644,9003081644,1557830,,,,MISSING_DATA
g10,g91,symsplit,32,40,2926246779,1000.02,1,10180606,1.42398,2326756042,2326756042,67897188,,,,MISSING_DATA
g10,g92,symsplit,34,47,2631627676,1000.02,1,37751,0.00430001,2099861356,2099861356,96447532,,,,MISSING_DATA
g10,g93,symsplit,38,65,4270514256,1000.02,1,2615593308,547.882,3183614151,3183614151,3498974,,,,MISSING_DATA
g10,g94,symsplit,34,46,9729589533,1000.02,1,2148348846,328.999,7245029704,7245029704,1613207,,,,MISSING_DATA
g10,g95,symsplit,30,37,721491311,1000.04,1,149573,0.134871,587409490,587409490,267658693,,,,MISSING_DATA
g10,g96,symsplit,31,39,924922648,1000.02,1,190234447,159.224,760904225,760904225,222558487,,,,MISSING_DATA
g10,g97,symsplit,31,38,1825407797,1000.02,1,141719680,92.0354,1368552346,1368552346,226753321,,,,MISSING_DATA
g10,g98,symsplit,31,38,1675913988,1000.02,1,606851120,337.682,1318670283,1318670283,166009382,,,,MISSING_DATA
g10,g99,symsplit,31,38,1532599122,1000.04,1,624815147,383.071,1201103891,1201103891,146683779,,,,MISSING_DATA
g100,g101,symsplit,755,429,3364077469,1000.43,1,1198,0.00258309,2161762407,2161762407,736569307,,,,MISSING_DATA
g100,g102,symsplit,636,377,3048150633,1000.36,1,674,0.0017595,1746695490,1746695490,645208324,,,,MISSING_DATA
g100,g103,symsplit,503,280,3075333109,1000.25,1,564,0.00137698,1803303293,1803303293,590708863,,,,MISSING_DATA
g100,g104,symsplit,1288,683,68156698,1001.33,1,1288,0.00389171,62710756,62710756,2589865667,,,,MISSING_DATA
g100,g105,symsplit,1296,696,54320677,1001.34,1,1296,0.00388286,47714514,47714514,2591552358,,,,MISSING_DATA
g100,g106,symsplit,1438,914,2555231936,1002.11,1,112266346,43.6613,2465374875,2465374875,160544464,,,,MISSING_DATA
g100,g107,symsplit,1421,891,324013581,1003.07,1,74610307,227.214,312020338,312020338,710688797,,,,MISSING_DATA
g100,g108,symsplit,1414,879,351307583,1003.62,1,109017018,314.782,324771743,324771743,569243015,,,,MISSING_DATA
g100,g109,symsplit,1705,1384,2450403031,1004.04,1,17068658,6.97497,1704258217,1704258217,280163516,,,,MISSING_DATA
g100,g110,symsplit,1292,649,3094561460,1001.7,1,2084,0.00487152,1932400787,1932400787,646392281,,,,MISSING_DATA
g100,g111,symsplit,1465,960,439489252,1004.64,1,4064785,9.4588,379172540,379172540,430721893,,,,MISSING_DATA
g100,g112,symsplit,1497,1001,1312735088,1003.16,1,12040,0.01232,1146462079,1146462079,470091727,,,,MISSING_DATA
g101,g102,symsplit,834,804,4630834791,1000.03,1,1430372227,297.705,2311850559,2311850559,458203210,,,,MISSING_DATA
g101,g103,symsplit,648,651,4705246507,1000.03,1,247475106,52.1179,2363857336,2363857336,43219006,,,,MISSING_DATA
g101,g104,symsplit,905,821,1689193399,1000.09,1,1560535,0.907797,1136413147,1136413147,362484338,,,,MISSING_DATA
g101,g105,symsplit,884,799,1377070730,1000.08,1,895253488,648.859,986028455,986028455,356236455,,,,MISSING_DATA
g101,g106,symsplit,921,856,8184148381,1000.04,1,1277,0.0054338,5622242832,5622242832,4608650351,,,,MISSING_DATA
g101,g107,symsplit,908,837,8747412201,1000.05,1,495388435,57.3481,5353236388,5353236388,2067711214,,,,MISSING_DATA
g101,g108,symsplit,919,858,7979244685,1000.05,1,4197120343,527.902,5239940852,5239940852,236376497,,,,MISSING_DATA
g101,g109,symsplit,983,953,4353454808,1000.05,1,1795,0.0105282,3072954773,3072954773,4194240,,,,MISSING_DATA
g101,g110,symsplit,982,954,5113957721,1000.06,1,1463,0.00935057,3992657605,3992657605,267849745,,,,MISSING_DATA
g101,g111,symsplit,921,856,8240150508,1000.06,1,1392,0.00565081,5660320251,5660320251,4662350385,,,,MISSING_DATA
g101,g112,symsplit,931,859,5926400994,1000.07,1,242988270,34.6513,5141495640,5141495640,152503638,,,,MISSING_DATA
g102,g103,symsplit,639,654,8344507125,1000.03,1,1269389919,143.652,4126173381,4126173381,449742928,,,,MISSING_DATA
g102,g104,symsplit,777,714,5990736434,1000.05,1,618152822,122.592,4188000959,4188000959,369175476,,,,MISSING_DATA
g102,g105,symsplit,769,714,1652720973,1000.08,1,19096,0.010578,1174419689,1174419689,317593891,,,,MISSING_DATA
g102,g106,symsplit,800,752,5987855608,1000.06,1,2666020645,496.958,4420343317,4420343317,106917489,,,,MISSING_DATA
g102,g107,symsplit,777,721,9377969008,1000.04,1,2317,0.00523512,7971346395,7971346395,883620445,,,,MISSING_DATA
g102,g108,symsplit,776,720,10598459554,1000.06,1,1106859,0.11052,7450326865,7450326865,301342476,,,,MISSING_DATA
g102,g109,symsplit,824,804,7762531449,1000.05,1,824,0.0071196,6032940942,6032940942,66290614,,,,MISSING_DATA
g102,g110,symsplit,835,831,5823440327,1000.06,1,861,0.00833143,4944297828,4944297828,47069287,,,,MISSING_DATA
g102,g111,symsplit,800,752,6049027965,1000.06,1,2666020629,486.474,4462985293,4462985293,108067587,,,,MISSING_DATA
g102,g112,symsplit,753,686,7688023238,1000.11,1,5495,0.00557882,5970224729,5970224729,1155032899,,,,MISSING_DATA
g103,g104,symsplit,599,562,8879950816,1000.04,1,433687,0.0510624,7694110724,7694110724,959732513,,,,MISSING_DATA
g103,g105,symsplit,605,563,7918381001,1000.04,1,119345025,20.1558,6040307531,6040307531,353052475,,,,MISSING_DATA
g103,g106,symsplit,601,579,7498227435,1000.04,1,113247112,14.598,5285642949,5285642949,432270201,,,,MISSING_DATA
g103,g107,symsplit,599,548,8883042366,1000.05,1,896013925,106.535,6527204770,6527204770,385787079,,,,MISSING_DATA
g103,g108,symsplit,591,562,7561505378,1000.05,1,3530732283,463.617,6059466820,6059466820,132558876,,,,MISSING_DATA
g103,g109,symsplit,640,619,13191410652,1000.05,1,668,0.00487255,10701336487,10701336487,331551775,,,,MISSING_DATA
g103,g110,symsplit,644,654,7850963255,1000.07,1,791,0.00633382,6968554723,6968554723,35070364,,,,MISSING_DATA
g103,g111,symsplit,601,579,7533307492,1000.06,1,113247112,14.5176,5310590751,5310590751,434542734,,,,MISSING_DATA
g103,g112,symsplit,577,522,7849111691,1000.09,1,388913,0.0397325,5974879892,5974879892,269242179,,,,MISSING_DATA
g104,g105,symsplit,3055,5597,238182671,1000.09,1,340255,1.39431,227854089,227854089,985968805,,,,MISSING_DATA
g104,g106,symsplit,1917,1504,620904915,1000.4,1,1917,0.00818443,15087828,15087828,1.34E+11,,,,MISSING_DATA
g104,g107,symsplit,2176,1597,354863126,1000.6,1,117756,0.243649,324776532,324776532,276624888,,,,MISSING_DATA
g104,g108,symsplit,2227,1699,365004276,1000.38,1,144318,0.302732,324003368,324003368,182982247,,,,MISSING_DATA
g104,g109,symsplit,1900,1242,1240692671,1000.83,1,1937,0.00792511,585770986,585770986,1.04E+11,,,,MISSING_DATA
g104,g110,symsplit,1347,1021,2506201772,1000.13,1,2251,0.00946656,1929517264,1929517264,2324027459,,,,MISSING_DATA
g104,g111,symsplit,2227,1682,393865276,1000.46,1,4480019,11.1201,332961618,332961618,140648045,,,,MISSING_DATA
g104,g112,symsplit,2190,1485,717111827,1000.77,1,103004260,143.659,615811674,615811674,198005238,,,,MISSING_DATA
g105,g106,symsplit,1936,1574,296334819,1000.77,1,1936,0.012207,5504537,5504537,70574673254,,,,MISSING_DATA
g105,g107,symsplit,2256,1776,345808968,1000.33,1,192922385,558.153,314207448,314207448,206142797,,,,MISSING_DATA
g105,g108,symsplit,2269,1768,332667955,1000.44,1,27830511,85.2975,303919130,303919130,190167778,,,,MISSING_DATA
g105,g109,symsplit,1911,1282,1025269022,1000.77,1,1911,0.00856283,411990881,411990881,1.14E+11,,,,MISSING_DATA
g105,g110,symsplit,1351,1012,2316150430,1000.13,1,3715,0.0118259,1762872535,1762872535,1615243331,,,,MISSING_DATA
g105,g111,symsplit,2288,1789,378557869,1000.43,1,739483,1.81353,321228167,321228167,153234925,,,,MISSING_DATA
g105,g112,symsplit,2188,1482,738102931,1000.68,1,179372,0.281984,629529415,629529415,201673622,,,,MISSING_DATA
g106,g107,symsplit,2104,1921,266386796,1000.55,1,2979469,11.2204,263808776,263808776,878529686,,,,MISSING_DATA
g106,g108,symsplit,2403,2714,301302381,1000.45,1,6672499,22.0322,297543717,297543717,516897711,,,,MISSING_DATA
g106,g109,symsplit,2013,1701,19809456658,1000.25,1,52196,0.0171556,14750457343,14750457343,142018276,,,,MISSING_DATA
g106,g110,symsplit,1393,1202,4950541305,1000.11,1,2241,0.0124838,3709346627,3709346627,24185863,,,,MISSING_DATA
g106,g111,symsplit,4493,13619,4494,0.435309,0,4493,0.120311,1,1,4609,4493,4494,0.368182,PASS
g106,g112,symsplit,2194,1918,1528402847,1000.51,1,617288884,399.365,1263549022,1263549022,169637802,,,,MISSING_DATA
g107,g108,symsplit,4288,8761,231312987,1000.17,1,42309,0.181598,207740267,207740267,733332430,,,,MISSING_DATA
g107,g109,symsplit,1964,1600,1839519352,1000.56,1,1981,0.0119583,1333735966,1333735966,5709050959,,,,MISSING_DATA
g107,g110,symsplit,1370,1123,1770736990,1000.13,1,2857,0.0133296,1246822901,1246822901,399840375,,,,MISSING_DATA
g107,g111,symsplit,2917,2223,297706113,1000.75,1,568170,1.30448,270560479,270560479,201992772,,,,MISSING_DATA
g107,g112,symsplit,2320,1639,430892158,1000.93,1,1865843,4.33973,2837115,2837115,1.63E+11,,,,MISSING_DATA
g108,g109,symsplit,1987,1647,1827143532,1000.53,1,81218032,42.2153,1384515263,1384515263,2474282138,,,,MISSING_DATA
g108,g110,symsplit,1397,1132,1661105171,1000.15,1,2433,0.0125031,1169613383,1169613383,306800051,,,,MISSING_DATA
g108,g111,symsplit,3036,2238,283357077,1000.98,1,288696,0.669662,266346323,266346323,278539806,,,,MISSING_DATA
g108,g112,symsplit,2333,1743,430069981,1000.83,1,21279,0.0568289,47388393,47388393,1.95E+11,,,,MISSING_DATA
g109,g110,symsplit,1509,1630,1432539984,1000.07,1,500171598,348.47,771927740,771927740,3685433,,,,MISSING_DATA
g109,g111,symsplit,2052,1821,576194365,1000.64,1,1374280,2.37291,427945691,427945691,504624479,,,,MISSING_DATA
g109,g112,symsplit,2092,2046,2886974174,1000.31,1,4301,0.00968043,2166146701,2166146701,408310076,,,,MISSING_DATA
g11,g100,symsplit,17,8,248003116,1000.02,1,6064,0.00876362,245760269,245760269,244316742,,,,MISSING_DATA
