instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, ref_size, ref_nodes, ref_time, match
g85,g112,dal,617,516,311468012,1010.55,1,17559657,185.817,239568629,239568629,0,,,0,MISSING_DATA
g85,g86,dal,1048,1570,3208,0.024628,0,1049,0.00852853,2160,2160,0,1048,3207,0.032,PASS
g85,g87,dal,385,210,2652272707,1000.04,1,1182,0.00272828,1926291446,1926291446,0,,,0,MISSING_DATA
g85,g88,dal,422,248,3363322311,1000.04,1,329351,0.164938,2642302950,2642302950,0,,,0,MISSING_DATA
g85,g89,dal,631,555,3481931841,1000.02,1,3012379171,862.634,2046739154,2046739154,0,,,0,MISSING_DATA
g85,g90,dal,578,477,3312402213,1000.03,1,1141054,0.380311,2639033647,2639033647,0,,,0,MISSING_DATA
g85,g91,dal,641,579,3465435333,1000.09,1,577818657,195.738,2361434138,2361434138,0,,,0,MISSING_DATA
g85,g92,dal,652,601,2125026610,1000.25,1,1874026347,874.846,1407790904,1407790904,0,,,0,MISSING_DATA
g85,g93,dal,91,10,1158943010,1000.05,1,11809461,10.0138,693794257,693794257,0,,,0,MISSING_DATA
g85,g94,dal,735,772,3523202002,1000.03,1,223484,0.0625821,2121626940,2121626940,0,,,0,MISSING_DATA
g85,g95,dal,613,534,674437935,1000.63,1,665931286,983.75,554840976,554840976,0,,,0,MISSING_DATA
g85,g96,dal,612,518,612127580,1000.51,1,514462237,822.276,529239068,529239068,0,,,0,MISSING_DATA
g85,g97,dal,621,536,609532105,1000.52,1,294587099,454.321,518183318,518183318,0,,,0,MISSING_DATA
g85,g98,dal,647,593,1037160218,1000.3,1,155064182,186.273,769702948,769702948,0,,,0,MISSING_DATA
g85,g99,dal,647,594,1049815363,1000.29,1,91847984,97.2972,769721883,769721883,0,,,0,MISSING_DATA
g86,g100,dal,560,411,973123998,1001.17,1,55635,0.13471,652038259,652038259,0,,,0,MISSING_DATA
g86,g101,dal,745,787,3456759077,1000.05,1,747522,0.326051,2574816690,2574816690,0,,,0,MISSING_DATA
g86,g102,dal,731,769,4502357491,1000.04,1,1157696612,245.504,3863663855,3863663855,0,,,0,MISSING_DATA
g86,g103,dal,623,553,3480549803,1000.04,1,4908343,1.44771,2906036532,2906036532,0,,,0,MISSING_DATA
g86,g104,dal,707,714,912781474,1000.13,1,650195631,777.163,622356450,622356450,0,,,0,MISSING_DATA
g86,g105,dal,723,742,962192827,1000.09,1,47293451,88.3941,759256512,759256512,0,,,0,MISSING_DATA
g86,g106,dal,725,755,595542556,1000.08,1,1031830,6.3777,484970006,484970006,0,,,0,MISSING_DATA
g86,g107,dal,711,720,640168014,1000.29,1,349739398,573.661,508676093,508676093,0,,,0,MISSING_DATA
g86,g108,dal,700,698,568213577,1000.52,1,17149692,42.102,460256139,460256139,0,,,0,MISSING_DATA
g86,g109,dal,750,801,688164870,1000.1,1,477532,3.2078,538865788,538865788,0,,,0,MISSING_DATA
g86,g110,dal,750,807,1026930418,1000.12,1,30859,0.16955,899204833,899204833,0,,,0,MISSING_DATA
g86,g111,dal,725,755,434912634,1000.12,1,181198855,394.307,352780660,352780660,0,,,0,MISSING_DATA
