instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time,unified_aborted, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, ref_size, ref_nodes, ref_time, match
001.txt,071.txt,dal,32,38,4982999722,691.514,0,39,444054758,48.7251,3796730836,,,0,MISSING_DATA
001.txt,072.txt,dal,13,13,446651,0.0424041,0,15,359,6.45E-05,279449,13,8921035,0.852,PASS
001.txt,073.txt,dal,39,33,5932442140,1000.02,1,46,4281182986,745.338,5165477379,,,0,MISSING_DATA
001.txt,074.txt,dal,37,41,5846363808,1000.02,1,46,16057349,2.76764,5384049036,,,0,MISSING_DATA
001.txt,075.txt,dal,23,28,1107468,0.194439,0,27,802,0.000161644,945511,23,3522788821,464.183,PASS
001.txt,077.txt,dal,13,14,17578,0.0037313,0,15,122,4.42E-05,14584,13,1334920,0.134,PASS
001.txt,078.txt,dal,39,33,6193322500,1000.01,1,46,4281182986,709.021,5397067344,,,0,MISSING_DATA
001.txt,079.txt,dal,9,11,2958,0.000561779,0,11,10,1.55E-05,2034,9,25897,0.003,PASS
001.txt,080.txt,dal,18,22,16069,0.00350604,0,20,149,6.75E-05,13503,18,420419,0.043,PASS
001.txt,081.txt,dal,36,36,12329233051,1000.02,1,46,39555,0.00586091,9859676165,,,0,MISSING_DATA
001.txt,082.txt,dal,18,22,16069,0.00250175,0,20,149,3.85E-05,13503,18,420419,0.043,PASS
001.txt,083.txt,dal,37,41,6058017310,1000.01,1,46,16057349,2.79915,5584372333,,,0,MISSING_DATA
001.txt,084.txt,dal,19,22,10795192,1.38395,0,22,278,5.32E-05,8063616,19,563275594,48.375,PASS
001.txt,085.txt,dal,42,44,29623958,4.09369,0,46,507027,0.0540917,20103532,42,84563564,7.44,PASS
001.txt,086.txt,dal,46,68,4242612,0.575314,0,46,4242471,0.57506,2774912,46,6956243620,586.673,PASS
001.txt,087.txt,dal,40,39,4231056941,1000.01,1,46,3563085700,821.892,3679897269,,,0,MISSING_DATA
001.txt,088.txt,dal,39,46,5805421922,1000.01,1,46,500628,0.0832967,4002247486,,,0,MISSING_DATA
001.txt,089.txt,dal,39,31,669479822,127.695,0,46,76234742,13.4285,584862351,39,804287424,131.595,PASS
001.txt,090.txt,dal,32,26,11530927643,1000.01,1,46,666647095,43.7228,9982373670,,,0,MISSING_DATA
001.txt,091.txt,dal,32,33,7577697569,1000.02,1,39,96362648,11.7398,6067786702,,,0,MISSING_DATA
001.txt,092.txt,dal,8,10,1617,0.000216607,0,10,24,1.21E-05,1016,8,5027,0,PASS
001.txt,093.txt,dal,39,34,4479060343,1000.01,1,46,542861868,106.436,4113287150,,,0,MISSING_DATA
001.txt,094.txt,dal,39,34,4708018561,1000.02,1,46,345619861,67.2599,4312600009,,,0,MISSING_DATA
001.txt,095.txt,dal,39,32,5106255002,1000.02,1,46,309406687,61.5236,4705758989,39,216866885,44.33,PASS
001.txt,096.txt,dal,39,28,5177715582,1000.02,1,46,49668265,9.81352,4789485896,39,301764841,61.48,PASS
001.txt,097.txt,dal,39,28,5171550164,1000.02,1,46,49668265,9.80888,4783686682,39,301764841,62.034,PASS
001.txt,099.txt,dal,20,21,22698,0.00238647,0,21,21948,0.00224078,13489,20,46307,0.005,PASS
001.txt,100.txt,dal,15,16,1415,0.000225636,0,16,338,6.61E-05,954,15,27115,0.002,PASS
001.txt,101.txt,dal,16,18,1532,0.000259056,0,18,156,3.78E-05,1038,16,85809173,9.735,PASS
001.txt,102.txt,dal,34,30,17396317591,1000,1,46,5904450,0.405566,14210182250,,,0,MISSING_DATA
001.txt,103.txt,dal,41,44,6446115540,1000.02,1,46,637645,0.0732722,5966553253,,,0,MISSING_DATA
001.txt,105.txt,dal,38,48,8096513404,1000.01,1,46,5746222369,686.196,7010884153,,,0,MISSING_DATA
001.txt,106.txt,dal,41,42,9708958323,1000.01,1,46,3344238,0.356471,8359646809,,,0,MISSING_DATA
001.txt,107.txt,dal,31,34,10292745028,1000.01,1,37,1812,0.000218907,8039287888,,,0,MISSING_DATA
001.txt,108.txt,dal,22,19,1718172,0.199319,0,25,1240315,0.143859,1397463,22,649947143,81.538,PASS
001.txt,109.txt,dal,45,62,29786822,4.13812,0,46,9813,0.00188533,19746984,,,0,MISSING_DATA
001.txt,111.txt,dal,26,32,866487434,99.6415,0,32,5648166,0.473192,687570245,,,0,MISSING_DATA
001.txt,112.txt,dal,20,24,10402,0.00122778,0,22,136,8.59E-05,7318,20,158278,0.02,PASS
001.txt,116.txt,dal,19,28,185589,0.0201545,0,22,124848,0.0114828,133853,19,524259,0.072,PASS
001.txt,120.txt,dal,12,12,315,0.000105108,0,13,131,3.51E-05,281,12,12828,0.001,PASS
001.txt,121.txt,dal,14,16,15523,0.00117561,0,15,35,1.71E-05,9136,14,15159,0.001,PASS
001.txt,122.txt,dal,40,42,2274461236,249.511,0,46,47240292,3.93813,1747007527,,,0,MISSING_DATA
001.txt,123.txt,dal,40,42,2274461236,248.929,0,46,47240292,3.91538,1747007527,,,0,MISSING_DATA
001.txt,125.txt,dal,11,9,5797,0.00054747,0,12,192,3.62E-05,3625,11,41261,0.003,PASS
001.txt,126.txt,dal,30,38,12749,0.00113119,0,31,93,3.68E-05,7412,30,44014,0.004,PASS
001.txt,137.txt,dal,36,36,12923364725,1000.01,1,46,12893449974,997.224,10896202550,,,0,MISSING_DATA
001.txt,139.txt,dal,40,46,6676597951,1000.01,1,46,2038646200,355.779,5912949790,,,0,MISSING_DATA
001.txt,140.txt,dal,40,46,6482141650,1000.01,1,46,2038646200,364.556,5740294924,,,0,MISSING_DATA
001.txt,143.txt,dal,29,28,8544382200,1000.02,1,40,2263443666,245.543,6407189084,,,0,MISSING_DATA
001.txt,144.txt,dal,41,38,5248005692,1000.02,1,46,11702790,1.87553,4569652079,,,0,MISSING_DATA
001.txt,145.txt,dal,16,14,337,0.000124498,0,16,200,4.87E-05,307,16,67,0,PASS
001.txt,146.txt,dal,36,34,5760087506,1000.01,1,46,15170750,2.33871,4491910113,,,0,MISSING_DATA
001.txt,147.txt,dal,41,45,8177900245,1000.02,1,46,6328,0.000815371,7298911813,,,0,MISSING_DATA
001.txt,148.txt,dal,15,14,1446,0.000264899,0,17,679,0.000122535,1034,15,720860,0.087,PASS
001.txt,149.txt,dal,36,39,6035989424,1000.01,1,46,3619467,0.504188,5586528081,,,0,MISSING_DATA
001.txt,151.txt,dal,43,54,7456064002,1000.01,1,46,198523635,25.6043,5016354411,,,0,MISSING_DATA
001.txt,152.txt,dal,46,68,25071,0.00399021,0,46,24768,0.00360554,17295,46,88430,0.01,PASS
001.txt,153.txt,dal,46,68,13235,0.0031155,0,46,12886,0.00260641,9488,46,127397,0.02,PASS
001.txt,156.txt,dal,8,6,983,0.000180323,0,9,9,1.05E-05,645,8,11463,0.001,PASS
001.txt,157.txt,dal,9,9,862,0.000145881,0,10,10,9.13E-06,555,9,15443,0.001,PASS
001.txt,158.txt,dal,9,9,862,0.000153012,0,10,10,1.00E-05,555,9,15443,0.001,PASS
001.txt,159.txt,dal,9,9,862,0.000150247,0,10,10,1.16E-05,555,9,15443,0.001,PASS
001.txt,160.txt,dal,39,28,3671949351,1000.01,1,46,2490389904,690.772,3377521170,,,0,MISSING_DATA
