instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, ref_size, ref_nodes, ref_time, match
g10,g42,mcsplit,31,39,7182009752,1000.02,1,3299620019,457.473,5586447000,5586447000,0,,,0,MISSING_DATA
g10,g43,mcsplit,27,30,9379156351,1000.01,1,2422942,0.234498,7753201063,7753201063,0,,,0,MISSING_DATA
g10,g44,mcsplit,31,33,10715227861,1000.02,1,8524873924,786.303,9693600374,9693600374,0,,,0,MISSING_DATA
g10,g45,mcsplit,31,34,10502193069,1000.02,1,7815228330,730.343,9507796773,9507796773,0,,,0,MISSING_DATA
g10,g46,mcsplit,33,43,7854420568,1000.02,1,54693664,5.93296,5762126275,5762126275,0,,,0,MISSING_DATA
g10,g47,mcsplit,33,42,7679911446,1000.01,1,469454799,54.7763,5581807784,5581807784,0,,,0,MISSING_DATA
g10,g48,mcsplit,33,41,7922772140,1000.02,1,4182931810,520.689,5712566372,5712566372,0,,,0,MISSING_DATA
g10,g49,mcsplit,30,39,11802503699,1000.02,1,163723008,21.1058,9266337284,9266337284,0,,,0,MISSING_DATA
g10,g50,mcsplit,17,19,14439773587,1000.01,1,1487846907,95.9284,12210853836,12210853836,0,,,0,MISSING_DATA
g10,g51,mcsplit,29,32,8891649819,1000.02,1,2852951961,284.078,8077669140,8077669140,0,,,0,MISSING_DATA
g10,g52,mcsplit,27,27,12248624339,1000.02,1,255421898,22.2131,11757424051,11757424051,0,,,0,MISSING_DATA
g10,g53,mcsplit,25,29,14368807923,1000.02,1,29378006,2.97016,10508129276,10508129276,0,,,0,MISSING_DATA
g10,g54,mcsplit,32,42,5734685472,1000.01,1,2211524039,355.52,4500401730,4500401730,0,,,0,MISSING_DATA
g10,g55,mcsplit,30,35,6204522251,1000.02,1,64843646,9.92957,4916414620,4916414620,0,,,0,MISSING_DATA
g10,g56,mcsplit,32,41,5680584225,1000.02,1,1345227,0.190403,4454564296,4454564296,0,,,0,MISSING_DATA
g10,g57,mcsplit,21,13,3032710889,1000.02,1,476010080,138.878,2802553915,2802553915,0,,,0,MISSING_DATA
g10,g58,mcsplit,28,30,4179084530,1000.02,1,22612090,5.36284,3890412180,3890412180,0,,,0,MISSING_DATA
g10,g59,mcsplit,27,27,3524143018,1000.02,1,122567879,33.1886,3333978321,3333978321,0,,,0,MISSING_DATA
g10,g60,mcsplit,28,30,5947663804,1000.01,1,2190579397,368.404,5241830281,5241830281,0,,,0,MISSING_DATA
g10,g61,mcsplit,29,32,4922105246,1000.02,1,1452446689,262.69,3642423189,3642423189,0,,,0,MISSING_DATA
g10,g62,mcsplit,29,32,4825322001,1000.02,1,1213125379,223.941,4697360832,4697360832,0,,,0,MISSING_DATA
g10,g63,mcsplit,35,53,4803729444,1000.02,1,325232569,64.6088,3298377043,3298377043,0,,,0,MISSING_DATA
