instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, ref_size, ref_nodes, ref_time, match
g63,g96,dsb,105,132,428476103,1000.02,1,308044791,755.519,396510897,396510897,0,,,,MISSING_DATA
g63,g97,dsb,94,116,468987520,1000.03,1,3890,0.0107604,443482883,443482883,0,,,,MISSING_DATA
g63,g98,dsb,113,161,1310895858,1000.02,1,34339895,26.3343,888077328,888077328,0,,,,MISSING_DATA
g63,g99,dsb,113,161,1310427460,1000.02,1,34334296,26.3476,887794671,887794671,0,,,,MISSING_DATA
g64,g100,dsb,44,20,688141106,1000.13,1,19543,0.0556801,515681027,515681027,0,,,,MISSING_DATA
g64,g101,dsb,53,44,732930870,1000.04,1,23651,0.083714,609102175,609102175,0,,,,MISSING_DATA
g64,g102,dsb,47,44,916417562,1000.04,1,8141262,7.81828,774089344,774089344,0,,,,MISSING_DATA
g64,g103,dsb,52,47,1048300351,1000.04,1,187270,0.246271,931552058,931552058,0,,,,MISSING_DATA
g64,g104,dsb,41,53,301218225,1000.13,1,232867,1.17912,245013747,245013747,0,,,,MISSING_DATA
g64,g105,dsb,53,60,508583017,1000.16,1,3008987,6.33313,411518443,411518443,0,,,,MISSING_DATA
g64,g106,dsb,37,43,395216066,1000.1,1,68947,0.271913,356636690,356636690,0,,,,MISSING_DATA
g64,g107,dsb,43,52,497736602,1000.07,1,17294765,37.1691,394687101,394687101,0,,,,MISSING_DATA
g64,g108,dsb,46,52,228143617,1000.17,1,98379636,437.876,185242330,185242330,0,,,,MISSING_DATA
g64,g109,dsb,51,60,356810654,1000.09,1,95115,0.801611,300046397,300046397,0,,,,MISSING_DATA
g64,g110,dsb,84,106,439659475,1000.09,1,2014472,6.39299,344679101,344679101,0,,,,MISSING_DATA
g64,g111,dsb,37,43,356506640,1000.1,1,71475,0.290902,321634338,321634338,0,,,,MISSING_DATA
g64,g112,dsb,58,63,179823702,1000.43,1,169516,1.28708,156882047,156882047,0,,,,MISSING_DATA
g64,g65,dsb,58,56,6091017696,1000.02,1,138196387,23.3235,4562810097,4562810097,0,,,,MISSING_DATA
g64,g66,dsb,53,55,9236126763,1000.02,1,9038516436,970.838,6863614226,6863614226,0,,,,MISSING_DATA
g64,g67,dsb,45,39,4464985939,1000.02,1,4610,0.00236143,3468674093,3468674093,0,,,,MISSING_DATA
g64,g68,dsb,48,75,8487929991,1000.02,1,5869488311,715.315,6949290269,6949290269,0,,,,MISSING_DATA
g64,g69,dsb,45,41,3420346695,1000.02,1,6775,0.00429133,2678400426,2678400426,0,,,,MISSING_DATA
g64,g70,dsb,45,38,2694531116,1000.02,1,18399,0.0121519,2243474264,2243474264,0,,,,MISSING_DATA
g64,g71,dsb,51,53,3442276865,1000.01,1,50183713,10.8774,2688515488,2688515488,0,,,,MISSING_DATA
g64,g72,dsb,39,40,1415452600,1000.02,1,46058472,12.0515,1391897691,1391897691,0,,,,MISSING_DATA
g64,g73,dsb,40,55,3622286284,1000.02,1,52,5.41E-05,2982508237,2982508237,0,,,,MISSING_DATA
g64,g74,dsb,53,66,14261471540,1000.02,1,152,7.40E-05,13435788160,13435788160,0,,,,MISSING_DATA
g64,g75,dsb,57,95,2805965538,1000.02,1,1212337738,434.821,2793916047,2793916047,0,,,,MISSING_DATA
g64,g76,dsb,57,101,12587721680,1000.02,1,58,6.44E-05,12238339544,12238339544,0,,,,MISSING_DATA
g64,g77,dsb,50,0,3266689315,1000.02,1,51,5.39E-05,3251208031,3251208031,0,,,,MISSING_DATA
g64,g78,dsb,67,79,2888109320,1000.01,1,614971001,205.462,2246988089,2246988089,0,,,,MISSING_DATA
g64,g79,dsb,62,59,2043890503,1000.03,1,503504563,230.004,1729454874,1729454874,0,,,,MISSING_DATA
g64,g80,dsb,28,24,708406064,1000.03,1,4252,0.00592507,695120166,695120166,0,,,,MISSING_DATA
g64,g81,dsb,58,59,2406829398,1000.02,1,540607,0.180341,2000150686,2000150686,0,,,,MISSING_DATA
g64,g82,dsb,58,59,2421330752,1000.02,1,540607,0.180323,2012571643,2012571643,0,,,,MISSING_DATA
g64,g83,dsb,61,71,2309660851,1000.02,1,58655708,25.1578,1679842427,1679842427,0,,,,MISSING_DATA
g64,g84,dsb,72,118,4937969612,1000.02,1,73,0.000105929,4899395630,4899395630,0,,,,MISSING_DATA
g64,g85,dsb,38,32,1608228540,1000.02,1,6878,0.00902871,1226047479,1226047479,0,,,,MISSING_DATA
g64,g86,dsb,38,32,1593063994,1000.02,1,6866,0.00920761,1212856822,1212856822,0,,,,MISSING_DATA
g64,g87,dsb,79,79,2557942718,1000.02,1,1822641059,720.305,1811282883,1811282883,0,,,,MISSING_DATA
g64,g88,dsb,68,75,2099033571,1000.02,1,40904979,19.2876,1759476462,1759476462,0,,,,MISSING_DATA
g64,g89,dsb,51,40,1731370388,1000.02,1,28024007,12.6163,1361885396,1361885396,0,,,,MISSING_DATA
g64,g90,dsb,51,61,1674452260,1000.02,1,276569224,159.834,1216412251,1216412251,0,,,,MISSING_DATA
g64,g91,dsb,40,53,1424109864,1000.03,1,49466,0.0477599,1104108592,1104108592,0,,,,MISSING_DATA
g64,g92,dsb,53,53,1430812575,1000.02,1,141506110,94.8965,1191265047,1191265047,0,,,,MISSING_DATA
g64,g93,dsb,78,196,11710968172,1000.03,1,524,0.00026695,11126172308,11126172308,0,,,,MISSING_DATA
g64,g94,dsb,63,49,377288599,1000.02,1,183979,0.450866,377070821,377070821,0,,,,MISSING_DATA
g64,g95,dsb,39,32,390002080,1000.07,1,24761,0.112158,306671926,306671926,0,,,,MISSING_DATA
g64,g96,dsb,36,50,556064892,1000.04,1,5520,0.0140432,425361374,425361374,0,,,,MISSING_DATA
g64,g97,dsb,40,41,439326577,1000.05,1,1284886,2.27624,352786754,352786754,0,,,,MISSING_DATA
g64,g98,dsb,46,51,874278997,1000.04,1,33580,0.0654521,708622200,708622200,0,,,,MISSING_DATA
g64,g99,dsb,46,51,827647517,1000.03,1,34004,0.0757997,671318001,671318001,0,,,,MISSING_DATA
g65,g100,dsb,105,66,1087273891,1000.18,1,17034,0.0528895,668857995,668857995,0,,,,MISSING_DATA
g65,g101,dsb,136,129,1203936843,1000.03,1,137,0.000490094,1000270731,1000270731,0,,,,MISSING_DATA
g65,g102,dsb,142,148,1219185815,1000.03,1,412595,0.34055,1023751993,1023751993,0,,,,MISSING_DATA
g65,g103,dsb,139,138,1473596852,1000.03,1,15234,0.0237133,1286568218,1286568218,0,,,,MISSING_DATA
g65,g104,dsb,119,118,675766048,1000.04,1,34970,0.163788,579470429,579470429,0,,,,MISSING_DATA
g65,g105,dsb,131,131,724743868,1000.05,1,170655529,230.752,548177951,548177951,0,,,,MISSING_DATA
g65,g106,dsb,123,118,483675994,1000.07,1,55945,0.348395,419606682,419606682,0,,,,MISSING_DATA
g65,g107,dsb,125,125,551198119,1000.07,1,67106390,125.133,424677773,424677773,0,,,,MISSING_DATA
g65,g108,dsb,131,137,478714962,1000.08,1,132,0.000738787,397651042,397651042,0,,,,MISSING_DATA
g65,g109,dsb,134,138,480836099,1000.08,1,395530600,819.433,377709086,377709086,0,,,,MISSING_DATA
g65,g110,dsb,141,169,358990259,1000.14,1,30125,0.225011,330872253,330872253,0,,,,MISSING_DATA
g65,g111,dsb,123,118,372578285,1000.1,1,69849,0.580981,323234484,323234484,0,,,,MISSING_DATA
g65,g112,dsb,127,124,370563289,1000.14,1,2561902,8.33968,308138312,308138312,0,,,,MISSING_DATA
g65,g66,dsb,291,1236,908,0.00298827,0,292,0.00130014,617,617,0,291,908,0.00267293,PASS
g65,g67,dsb,141,146,3517135266,1000.01,1,37296608,7.54963,2121789401,2121789401,0,,,,MISSING_DATA
g65,g68,dsb,78,114,5262085428,1000.03,1,654697604,117.955,3062200462,3062200462,0,,,,MISSING_DATA
