instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, ref_size, ref_nodes, ref_time, match
g10,g53,rl,25,29,8722907059,1000.01,1,32000271,3.68977,6449560175,6449560175,0,,,0,MISSING_DATA
g10,g54,rl,32,42,4852806598,1000.02,1,1433118871,263.273,3818951623,3818951623,0,,,0,MISSING_DATA
g10,g55,rl,30,36,5467803519,1000.02,1,22547465,3.38385,4375795340,4375795340,0,,,0,MISSING_DATA
g10,g56,rl,32,41,4861602863,1000.02,1,1216909,0.202345,3854388539,3854388539,0,,,0,MISSING_DATA
g10,g57,rl,21,13,2512718570,1000.01,1,1386432289,557.116,2253197732,2253197732,0,,,0,MISSING_DATA
g10,g58,rl,28,30,3752663050,1000.01,1,15746281,4.20179,3312964356,3312964356,0,,,0,MISSING_DATA
g10,g59,rl,27,27,3223084946,1000.01,1,46661100,13.4891,3037598800,3037598800,0,,,0,MISSING_DATA
g10,g60,rl,29,30,4078524507,1000.01,1,3757997521,918.712,3725066715,3725066715,0,,,0,MISSING_DATA
g10,g61,rl,29,36,4310853852,1000.02,1,3305343110,789.593,3057446208,3057446208,0,,,0,MISSING_DATA
g10,g62,rl,29,32,3685163658,1000.02,1,236393893,63.0972,3576440170,3576440170,0,,,0,MISSING_DATA
g10,g63,rl,35,53,4284842806,1000.01,1,992045481,228.22,2901010091,2901010091,0,,,0,MISSING_DATA
g10,g64,rl,31,35,9314544975,1000.02,1,7648662507,798.545,8172817261,8172817261,0,,,0,MISSING_DATA
g10,g65,rl,31,39,3459964316,1000.02,1,1495574985,416.449,2852841413,2852841413,0,,,0,MISSING_DATA
g10,g66,rl,31,38,4250547935,1000.02,1,181827704,39.1518,3350589172,3350589172,0,,,0,MISSING_DATA
g10,g67,rl,27,25,3599972750,1000.02,1,24822783,2.88399,3079706529,3079706529,0,,,0,MISSING_DATA
