instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_root_ub, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, unified_conflicts, ref_size, ref_nodes, ref_time, match
001.txt,002.txt,dal,46,68,843304,0.0838357,0,46,843191,0.0837017,610236,610236,0,512770,46,927915,0.102,PASS
001.txt,003.txt,dal,10,8,115,0.000106761,0,10,11,3.75E-05,105,105,0,65,10,37,0,PASS
001.txt,004.txt,dal,12,12,113,7.85E-05,0,12,19,1.45E-05,100,100,0,62,12,44,0,PASS
001.txt,007.txt,dal,33,28,15331991803,1000.02,1,42,3742895301,294.338,12994200698,12994200698,0,11864246729,,,0,MISSING_DATA
001.txt,008.txt,dal,17,17,1647,0.000328525,0,18,1513,0.000236737,1278,1278,0,890,17,459656,0.051,PASS
001.txt,009.txt,dal,34,40,10041882659,1000.02,1,46,15695087,1.28301,8067948007,8067948007,0,7226996612,,,0,MISSING_DATA
001.txt,010.txt,dal,16,18,4252,0.000584101,0,18,60,2.15E-05,2963,2963,0,2423,16,98611,0.01,PASS
001.txt,011.txt,dal,36,38,10552719504,1000.02,1,46,738649746,58.4683,8114977834,8114977834,0,7019600729,,,0,MISSING_DATA
001.txt,012.txt,dal,18,18,564,0.000150918,0,18,481,8.89E-05,399,399,0,211,18,140,0,PASS
001.txt,013.txt,dal,37,27,14718827611,1000.02,1,46,311031464,44.1381,12619427795,12619427795,0,11581733652,,,0,MISSING_DATA
001.txt,014.txt,dal,46,68,1217839,0.344783,0,46,1217261,0.34346,826888,826888,0,632119,46,14835828,3.555,PASS
001.txt,015.txt,dal,32,36,8761171540,1000.01,1,46,172515788,16.3371,7419883448,7419883448,0,6855535956,,,0,MISSING_DATA
001.txt,017.txt,dal,27,41,251540545,24.3662,0,32,218957347,19.9785,183441540,183441540,0,151182948,,,0,MISSING_DATA
001.txt,018.txt,dal,29,27,7101451007,1000.01,1,46,948062585,143.791,6645804739,6645804739,0,6462353186,,,0,MISSING_DATA
001.txt,019.txt,dal,46,68,77402037,13.7442,0,46,77401596,13.743,51672546,51672546,0,38991939,46,200353987,30.639,PASS
001.txt,021.txt,dal,33,31,63753622,6.36857,0,36,893350,0.0804444,44571112,44571112,0,35214033,33,699065257,97.898,PASS
001.txt,022.txt,dal,32,40,1712322586,182.584,0,38,247839153,25.0328,1363575053,1363575053,0,1205238656,,,0,MISSING_DATA
001.txt,023.txt,dal,29,36,1005190331,146.982,0,35,813667,0.0870122,862744259,862744259,0,799448411,,,0,MISSING_DATA
001.txt,025.txt,dal,11,12,984,0.000250727,0,12,908,0.000146791,711,711,0,563,11,3678,0,PASS
001.txt,026.txt,dal,24,32,30717,0.00386883,0,27,4122,0.000475666,20386,20386,0,16230,24,703115,0.063,PASS
001.txt,027.txt,dal,7,7,1004,0.00023906,0,9,8,2.60E-05,649,649,0,533,7,3208,0,PASS
