instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_root_ub, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, unified_conflicts, ref_size, ref_nodes, ref_time, match
001.txt,063.txt,ll,22,22,174999,0.0200713,0,25,116217,0.0105327,138393,138393,0,102490,22,855674328,85.042,PASS
001.txt,064.txt,ll,35,30,7182623454,1000.02,1,46,601310831,61.0197,6002772584,6002772584,0,4996013201,,,0,MISSING_DATA
001.txt,065.txt,ll,23,20,201851,0.0194918,0,25,82981,0.00733692,129773,129773,0,60976,23,1879257,0.173,PASS
001.txt,066.txt,ll,18,20,1304756,0.167467,0,25,672526,0.0827292,979500,979500,0,761376,,,0,MISSING_DATA
001.txt,067.txt,ll,22,23,11101,0.00179232,0,24,200,6.82E-05,7503,7503,0,4014,22,2440746,0.283,PASS
001.txt,068.txt,ll,12,10,43309,0.00490481,0,15,42811,0.00479599,30017,30017,0,17126,12,10344774,1.029,PASS
001.txt,069.txt,ll,21,24,13652,0.00150708,0,22,13537,0.00143895,9201,9201,0,6012,21,94089,0.011,PASS
001.txt,070.txt,ll,44,56,8311741680,817.413,0,46,468321763,40.5901,5639215231,5639215231,0,2967402321,44,8311741680,722.782,PASS
001.txt,071.txt,ll,31,34,10267115058,1000.01,1,39,40292964,3.54885,7661978593,7661978593,0,5329146487,,,0,MISSING_DATA
001.txt,072.txt,ll,13,12,444822,0.0382924,0,15,42,2.47E-05,279264,279264,0,113815,13,8867333,0.743,PASS
001.txt,073.txt,ll,40,30,6635555713,1000.02,1,46,881950584,127.505,6106915701,6106915701,0,5609748615,,,0,MISSING_DATA
001.txt,074.txt,ll,40,30,5518305216,1000,1,46,832161907,142.581,5108649038,5108649038,0,4715548302,,,0,MISSING_DATA
001.txt,075.txt,ll,23,24,6149,0.000927746,0,27,245,7.15E-05,4181,4181,0,3421,23,3455939610,419.908,PASS
001.txt,077.txt,ll,13,15,6499,0.000672732,0,15,14,1.98E-05,4416,4416,0,2480,13,1170313,0.098,PASS
001.txt,078.txt,ll,40,30,6637727813,1000.02,1,46,881950584,127.493,6108960168,6108960168,0,5611666147,,,0,MISSING_DATA
001.txt,079.txt,ll,9,10,2262,0.000309358,0,11,42,2.17E-05,1572,1572,0,999,9,24497,0.002,PASS
001.txt,080.txt,ll,18,20,261487,0.0294624,0,20,261395,0.0294056,206138,206138,0,163308,18,377866,0.034,PASS
001.txt,081.txt,ll,39,42,9300202693,1000.01,1,46,287148592,23.1414,7416184755,7416184755,0,5666089342,,,0,MISSING_DATA
001.txt,082.txt,ll,18,20,261487,0.0293905,0,20,261395,0.0293176,206138,206138,0,163308,18,377866,0.034,PASS
001.txt,083.txt,ll,40,30,5480939161,1000,1,46,832161907,142.888,5073192364,5073192364,0,4681991550,,,0,MISSING_DATA
001.txt,084.txt,ll,19,22,4375936,0.398905,0,22,20,1.58E-05,3303206,3303206,0,2232375,19,548151431,38.849,PASS
001.txt,085.txt,ll,42,48,94693972,8.72053,0,46,60241819,5.21354,63993047,63993047,0,35180960,42,94693972,7.233,PASS
001.txt,086.txt,ll,46,68,4435701413,404.03,0,46,4435701279,404.03,2888996033,2888996033,0,1373037191,46,4435701413,329.694,PASS
001.txt,087.txt,ll,39,34,3797807874,1000.02,1,46,65340151,16.5934,3451256548,3451256548,0,3135821005,,,0,MISSING_DATA
001.txt,088.txt,ll,44,58,6782820892,1000.03,1,46,477910525,92.4688,4072329701,4072329701,0,1361895769,,,0,MISSING_DATA
001.txt,089.txt,ll,39,26,740246254,142.381,0,46,736956178,141.691,666471194,666471194,0,603919085,39,740246254,120.155,PASS
001.txt,090.txt,ll,32,26,12053228964,1000.02,1,46,431,8.84E-05,10431435398,10431435398,0,8864200399,,,0,MISSING_DATA
001.txt,091.txt,ll,32,34,4210859083,499.812,0,39,2645878,0.227392,3336940953,3336940953,0,2561346169,,,0,MISSING_DATA
001.txt,092.txt,ll,8,8,2770,0.000381416,0,10,1648,0.000190688,1762,1762,0,1027,8,5400,0,PASS
001.txt,093.txt,ll,38,31,4912410161,1000.01,1,46,239537,0.0574347,4472852048,4472852048,0,4076217191,,,0,MISSING_DATA
001.txt,094.txt,ll,38,31,4857307222,1000.02,1,46,183146,0.0475839,4436833914,4436833914,0,4062650637,,,0,MISSING_DATA
001.txt,095.txt,ll,39,28,246124356,59.6899,0,46,779832,0.212817,228590811,228590811,0,213468092,39,246124356,48.543,PASS
001.txt,096.txt,ll,39,28,312234104,72.9688,0,46,13165788,3.41729,286343467,286343467,0,263894273,39,312234104,59.527,PASS
001.txt,097.txt,ll,39,28,312234104,73.6591,0,46,13165788,3.44909,286343467,286343467,0,263894273,39,312234104,59.666,PASS
001.txt,099.txt,ll,20,20,16521,0.00146495,0,21,15406,0.00128402,9933,9933,0,3492,20,41690,0.003,PASS
001.txt,100.txt,ll,15,13,2383,0.00039051,0,16,2263,0.000307956,1841,1841,0,1241,15,25866,0.002,PASS
001.txt,101.txt,ll,16,16,1320,0.000256737,0,18,17,1.32E-05,875,875,0,494,16,80067508,7.945,PASS
001.txt,102.txt,ll,34,33,19243974072,1000.01,1,46,73,4.03E-05,14525119207,14525119207,0,9840338285,,,0,MISSING_DATA
001.txt,103.txt,ll,39,28,10719486450,1000.02,1,46,8765889385,846.24,9328229323,9328229323,0,7995218520,,,0,MISSING_DATA
001.txt,105.txt,ll,35,32,7177613891,1000.01,1,46,542463,0.0792591,6656783336,6656783336,0,6145570163,,,0,MISSING_DATA
001.txt,106.txt,ll,39,28,6367505826,1000.02,1,46,78798475,13.276,5729900071,5729900071,0,5167894705,,,0,MISSING_DATA
001.txt,107.txt,ll,31,33,10905752259,1000.02,1,37,104174064,7.94867,8257030496,8257030496,0,5728079016,,,0,MISSING_DATA
001.txt,108.txt,ll,22,20,192994,0.0181807,0,25,342,8.46E-05,144972,144972,0,98148,22,638331584,78.15,PASS
001.txt,109.txt,ll,44,56,8545005501,1000.02,1,46,4433499695,545.663,5999942552,5999942552,0,3478356772,,,0,MISSING_DATA
001.txt,111.txt,ll,26,25,56255842,6.33672,0,32,1542665,0.107945,42780432,42780432,0,29655003,,,0,MISSING_DATA
001.txt,112.txt,ll,20,23,4015,0.000551383,0,22,21,2.44E-05,2652,2652,0,1419,20,159395,0.02,PASS
001.txt,116.txt,ll,19,24,25201,0.00290097,0,22,1650,0.000218439,16649,16649,0,10171,19,466768,0.06,PASS
001.txt,120.txt,ll,12,11,3915,0.000414516,0,13,3810,0.000338661,2545,2545,0,1210,12,12338,0.001,PASS
001.txt,121.txt,ll,14,16,12047,0.00101056,0,15,19,1.53E-05,7118,7118,0,2182,14,14200,0.001,PASS
001.txt,122.txt,ll,39,44,11713226667,1000.01,1,46,643777,0.0480153,9880709427,9880709427,0,8092196907,,,0,MISSING_DATA
001.txt,123.txt,ll,39,44,11697096306,1000.02,1,46,643777,0.0465574,9866935227,9866935227,0,8080754370,,,0,MISSING_DATA
001.txt,125.txt,ll,11,10,4932,0.000456453,0,12,12,1.39E-05,2945,2945,0,950,11,48771,0.003,PASS
001.txt,126.txt,ll,30,40,45442,0.00428726,0,31,39016,0.00364972,26539,26539,0,7768,30,40346,0.003,PASS
001.txt,137.txt,ll,34,30,12283214212,1000.02,1,46,417518,0.0685811,10679126092,10679126092,0,9076132819,,,0,MISSING_DATA
001.txt,139.txt,ll,39,36,4372483733,1000.01,1,46,2758878,0.372394,4207708382,4207708382,0,4043505969,,,0,MISSING_DATA
001.txt,140.txt,ll,39,36,4372773504,1000.01,1,46,2758878,0.374433,4207988365,4207988365,0,4043776173,,,0,MISSING_DATA
001.txt,143.txt,ll,29,25,8623466181,1000.01,1,40,213566095,21.9406,6347722714,6347722714,0,4696662736,,,0,MISSING_DATA
001.txt,144.txt,ll,40,30,5392750747,1000.02,1,46,57881805,9.79087,5035780826,5035780826,0,4730857638,,,0,MISSING_DATA
001.txt,145.txt,ll,16,14,155,8.88E-05,0,16,17,1.47E-05,139,139,0,63,16,67,0,PASS
001.txt,146.txt,ll,40,38,4697823586,1000,1,46,21178072,2.68525,4332233515,4332233515,0,3969177621,,,0,MISSING_DATA
001.txt,147.txt,ll,39,36,5545119618,1000.02,1,46,161721,0.0133764,5262290004,5262290004,0,4980649732,,,0,MISSING_DATA
001.txt,148.txt,ll,15,14,771,0.000153472,0,17,38,1.60E-05,555,555,0,305,15,676413,0.07,PASS
001.txt,149.txt,ll,38,35,8862282029,1000.02,1,46,951039986,92.2606,7878033530,7878033530,0,6941821888,,,0,MISSING_DATA
001.txt,151.txt,ll,42,50,7937828381,1000,1,46,2432595,0.394235,5375314617,5375314617,0,2812807924,,,0,MISSING_DATA
001.txt,152.txt,ll,46,68,184587,0.0283896,0,46,184285,0.0278775,122826,122826,0,60850,46,184587,0.017,PASS
001.txt,153.txt,ll,46,68,132147,0.0305444,0,46,131777,0.0297665,92771,92771,0,53016,46,132147,0.019,PASS
001.txt,156.txt,ll,8,7,884,0.000124949,0,9,9,7.90E-06,564,564,0,234,8,9931,0,PASS
001.txt,157.txt,ll,9,8,774,0.00011283,0,10,10,8.07E-06,501,501,0,218,9,14533,0.001,PASS
001.txt,158.txt,ll,9,8,774,0.000114954,0,10,10,8.15E-06,501,501,0,218,9,14533,0.001,PASS
001.txt,159.txt,ll,9,8,774,0.000126451,0,10,10,9.27E-06,501,501,0,218,9,14533,0.001,PASS
001.txt,160.txt,ll,38,31,5811342130,1000.01,1,46,1744987,0.487598,5229764121,5229764121,0,4674266490,,,0,MISSING_DATA
001.txt,161.txt,ll,44,54,12328587,1.5843,0,46,11996292,1.53788,8572203,8572203,0,4866799,44,12328587,1.211,PASS
001.txt,162.txt,ll,42,44,6777614149,1000.02,1,46,53111564,10.7132,5125895620,5125895620,0,3476388302,,,0,MISSING_DATA
001.txt,163.txt,ll,33,27,10040543668,1000.02,1,42,1545998510,155.581,7494853265,7494853265,0,5499362258,,,0,MISSING_DATA
001.txt,164.txt,ll,45,62,49943083,4.0123,0,46,49501300,3.97581,32726042,32726042,0,15568461,45,49943083,4.001,PASS
001.txt,165.txt,ll,43,50,662768663,80.3802,0,46,349218577,54.679,482428864,482428864,0,302428004,43,662768663,69.267,PASS
001.txt,166.txt,ll,9,8,119,8.06E-05,0,9,10,1.12E-05,110,110,0,38,9,34,0,PASS
001.txt,167.txt,ll,18,24,55134,0.00413022,0,20,19,1.55E-05,34990,34990,0,14992,18,225997,0.024,PASS
001.txt,168.txt,ll,14,14,2675,0.000295745,0,15,87,2.57E-05,1599,1599,0,474,14,23318,0.002,PASS
001.txt,169.txt,ll,33,31,75694366,8.14696,0,37,73746247,7.94394,58389146,58389146,0,42006389,,,0,MISSING_DATA
