,Median µs/node,Mean µs/node
McSplit+DAL,0.17485201005114803,0.19633324136890454
McSplit+DSB,0.143322383575835,0.15678811391437136
McSplit+LL,0.16654861560709633,0.18862844012968635
McSplit,0.13058390276834658,0.14795298637710774
McSplit+RL,0.16243673550268406,0.17988909571594594
RRSplit,0.3761740954466563,0.41054680165162377
SymSplit,0.12147820117870263,0.13488243501171754
