,,ref_size,ref_size,ref_size,ref_size,ref_size,ref_size,unified_size,unified_size,unified_size,unified_size,unified_size,unified_size,
algo,,dal,dsb,ll,mcsplit,rl,rrsplit,dal,dsb,ll,mcsplit,rl,rrsplit,
instance_a,instance_b,,,,,,,,,,,,,
107.txt,112.txt,20,19,19,19,19,19,19,19,19,19,19,19,19
107.txt,196.txt,22,21,21,21,21,21,21,21,21,21,21,21,21
108.txt,125.txt,12,11,11,11,11,11,11,11,11,11,11,11,11
111.txt,125.txt,12,11,11,11,11,11,11,11,11,11,11,11,11
111.txt,170.txt,22,21,21,21,21,21,21,21,21,21,21,21,21
111.txt,196.txt,22,21,21,21,21,21,21,21,21,21,21,21,21
112.txt,156.txt,9,8,8,8,8,8,8,8,8,8,8,8,8
137.txt,170.txt,24,23,23,23,23,23,23,23,23,23,23,23,23
139.txt,171.txt,34,,33,,,33,33,33,33,33,33,33,33
140.txt,171.txt,34,,33,,,33,33,33,33,33,33,33,33
143.txt,171.txt,29,28,28,28,,28,28,28,28,28,28,28,28
144.txt,148.txt,16,15,15,15,15,15,15,15,15,15,15,15,15
144.txt,196.txt,24,23,23,23,23,23,23,23,23,23,23,23,23
145.txt,157.txt,9,8,8,8,8,8,8,8,8,8,8,8,8
145.txt,158.txt,9,8,8,8,8,8,8,8,8,8,8,8,8
145.txt,159.txt,9,8,8,8,8,8,8,8,8,8,8,8,8
147.txt,196.txt,24,23,23,23,23,23,23,23,23,23,23,23,23
149.txt,171.txt,33,,,,,32,32,32,32,32,32,32,32
160.txt,171.txt,33,,,,,32,32,32,32,32,32,32,32
160.txt,196.txt,23,,,,,22,22,22,22,22,22,22,22
161.txt,171.txt,34,33,33,33,33,33,33,33,33,33,33,33,33
161.txt,196.txt,24,,,,,23,23,23,23,23,23,23,23
163.txt,170.txt,23,22,22,22,22,22,22,22,22,22,22,22,22
163.txt,171.txt,31,30,30,30,,30,30,30,30,30,30,30,30
165.txt,171.txt,34,33,,33,,33,33,33,33,33,33,33,33
172.txt,196.txt,24,23,,23,23,23,23,23,23,23,23,23,23
173.txt,196.txt,23,,,,,22,22,22,22,22,22,22,22
176.txt,196.txt,24,,23,,23,23,23,23,23,23,23,23,23
177.txt,196.txt,24,23,23,23,23,23,23,23,23,23,23,23,23
