instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_root_ub, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, unified_conflicts,
mcs70_r005_s25.A08,mcs70_r005_s25.B08,dal_dal,20,20,126979,0.0151457,0,25,67445,0.00748901,89159,89159,0,89122,
mcs70_r005_s25.A09,mcs70_r005_s25.B09,dal_dal,19,19,579977,0.0669906,0,25,1691,0.000195134,411352,411352,0,411324,
mcs70_r005_s30.A00,mcs70_r005_s30.B00,dal_dal,24,26,1397582,0.176488,0,30,1155938,0.144134,978674,978674,0,978638,
mcs70_r005_s30.A01,mcs70_r005_s30.B01,dal_dal,23,27,7598957,0.965781,0,30,140473,0.0164637,5153154,5153154,0,5153090,
mcs70_r005_s30.A02,mcs70_r005_s30.B02,dal_dal,24,27,1230846,0.127419,0,30,534567,0.0431125,848333,848333,0,848277,
mcs70_r005_s30.A03,mcs70_r005_s30.B03,dal_dal,24,28,3661923,0.468965,0,30,3650785,0.467281,2545938,2545938,0,2545893,
mcs70_r005_s30.A04,mcs70_r005_s30.B04,dal_dal,25,32,356999,0.0474176,0,30,173288,0.0214776,233756,233756,0,233712,
mcs70_r005_s30.A05,mcs70_r005_s30.B05,dal_dal,24,32,476553,0.0652072,0,30,49973,0.00558806,345111,345111,0,345067,
mcs70_r005_s30.A06,mcs70_r005_s30.B06,dal_dal,23,30,23777038,2.8177,0,30,138396,0.0129397,16334214,16334214,0,16334172,
mcs70_r005_s30.A07,mcs70_r005_s30.B07,dal_dal,24,20,1950124,0.265521,0,30,735977,0.0963073,1353484,1353484,0,1353452,
mcs70_r005_s30.A08,mcs70_r005_s30.B08,dal_dal,23,25,5635377,0.698902,0,30,119416,0.0124806,3791903,3791903,0,3791849,
mcs70_r005_s30.A09,mcs70_r005_s30.B09,dal_dal,23,23,4906095,0.619953,0,30,3607,0.00037834,3375008,3375008,0,3374947,
mcs70_r005_s35.A00,mcs70_r005_s35.B00,dal_dal,27,36,15398269,2.42073,0,35,7975231,1.16622,10545330,10545330,0,10545268,
mcs70_r005_s35.A01,mcs70_r005_s35.B01,dal_dal,26,35,18600884,3.21767,0,35,264447,0.0402757,12426303,12426303,0,12426223,
mcs70_r005_s35.A02,mcs70_r005_s35.B02,dal_dal,27,41,30608668,4.14121,0,35,25159355,3.36823,21419088,21419088,0,21419011,
mcs70_r005_s35.A03,mcs70_r005_s35.B03,dal_dal,26,29,39914828,6.61574,0,35,458373,0.0443593,26975061,26975061,0,26974992,
mcs70_r005_s35.A04,mcs70_r005_s35.B04,dal_dal,26,32,85547107,12.7959,0,35,49883550,7.44301,56524778,56524778,0,56524727,
mcs70_r005_s35.A05,mcs70_r005_s35.B05,dal_dal,26,36,34539398,4.72796,0,35,7962342,1.02569,23296295,23296295,0,23296215,
mcs70_r005_s35.A06,mcs70_r005_s35.B06,dal_dal,27,35,101567111,9.34783,0,35,100156641,9.12788,81476183,81476183,0,81476166,
mcs70_r005_s35.A07,mcs70_r005_s35.B07,dal_dal,27,33,54660938,7.60054,0,35,49962336,6.91242,36672769,36672769,0,36672707,
mcs70_r005_s35.A08,mcs70_r005_s35.B08,dal_dal,27,31,6591940,0.92718,0,35,1910865,0.250002,4647644,4647644,0,4647580,
mcs70_r005_s35.A09,mcs70_r005_s35.B09,dal_dal,26,37,26336315,3.80973,0,35,524266,0.071478,17234461,17234461,0,17234355,
mcs70_r005_s40.A00,mcs70_r005_s40.B00,dal_dal,29,38,390137642,54.9594,0,40,63280348,8.50902,270534199,270534199,0,270534152,
mcs70_r005_s40.A01,mcs70_r005_s40.B01,dal_dal,29,46,666927771,109.153,0,40,264595181,40.7259,460455853,460455853,0,460455799,
mcs70_r005_s40.A02,mcs70_r005_s40.B02,dal_dal,29,42,2361451907,348.263,0,40,2079561019,304.818,1552364517,1552364517,0,1552364468,
mcs70_r005_s40.A03,mcs70_r005_s40.B03,dal_dal,29,36,337875600,50.4981,0,40,34529298,4.9389,230106540,230106540,0,230106463,
mcs70_r005_s40.A04,mcs70_r005_s40.B04,dal_dal,29,42,258515829,38.7014,0,40,29941260,4.08085,175140685,175140685,0,175140606,
mcs70_r005_s40.A05,mcs70_r005_s40.B05,dal_dal,30,47,514916431,76.896,0,40,503383810,75.0269,356309682,356309682,0,356309614,
mcs70_r005_s40.A06,mcs70_r005_s40.B06,dal_dal,29,44,480478542,69.7325,0,40,131226930,17.8694,335401635,335401635,0,335401576,
mcs70_r005_s40.A07,mcs70_r005_s40.B07,dal_dal,29,50,890789536,129.724,0,40,724741797,104.631,591261576,591261576,0,591261536,
mcs70_r005_s40.A08,mcs70_r005_s40.B08,dal_dal,29,42,397063285,58.8527,0,40,168983121,24.2154,266888644,266888644,0,266888555,
mcs70_r005_s40.A09,mcs70_r005_s40.B09,dal_dal,29,39,481050798,72.0915,0,40,121631264,17.4746,328267741,328267741,0,328267665,
mcs70_r005_s50.A00,mcs70_r005_s50.B00,dal_dal,32,59,6286234422,1000.02,1,50,1239637284,189.866,4196587506,4196587506,0,4196587513,
mcs70_r005_s50.A01,mcs70_r005_s50.B01,dal_dal,32,51,6480224045,1000.02,1,50,32822959,4.94562,4212907796,4212907796,0,4212907793,
mcs70_r005_s50.A02,mcs70_r005_s50.B02,dal_dal,32,48,6500568739,1000.01,1,50,1403375022,205.174,4303576438,4303576438,0,4303576458,
mcs70_r005_s50.A03,mcs70_r005_s50.B03,dal_dal,32,43,6670918626,1000.02,1,50,4464068800,658.197,4469322593,4469322593,0,4469322609,
mcs70_r005_s50.A04,mcs70_r005_s50.B04,dal_dal,33,46,6268117310,1000.02,1,50,3251443698,507.981,4239211764,4239211764,0,4239211793,
mcs70_r005_s50.A05,mcs70_r005_s50.B05,dal_dal,33,55,6190623769,1000.01,1,50,3442478258,544.493,4168219996,4168219996,0,4168220073,
mcs70_r005_s50.A06,mcs70_r005_s50.B06,dal_dal,32,49,6295518638,1000.01,1,50,2947836797,454.628,4085156201,4085156201,0,4085156247,
mcs70_r005_s50.A07,mcs70_r005_s50.B07,dal_dal,33,56,6335969469,1000.02,1,50,1950836345,291.297,4365570667,4365570667,0,4365570698,
mcs70_r005_s50.A08,mcs70_r005_s50.B08,dal_dal,33,59,5985491172,1000.01,1,50,47440571,7.22089,3998439981,3998439981,0,3998439997,
mcs70_r005_s50.A09,mcs70_r005_s50.B09,dal_dal,31,42,6659488341,1000.01,1,50,48587530,6.88646,4509630507,4509630507,0,4509630490,
mcs70_r005_s60.A00,mcs70_r005_s60.B00,dal_dal,34,46,5999995357,1000.02,1,60,4179594461,699.976,3861596621,3861596621,0,3861596668,
mcs70_r005_s60.A01,mcs70_r005_s60.B01,dal_dal,36,65,6287873667,1000.02,1,60,3088339,0.433748,4262627470,4262627470,0,4262627519,
mcs70_r005_s60.A02,mcs70_r005_s60.B02,dal_dal,35,67,6157738911,1000.02,1,60,547813175,84.9784,4045689301,4045689301,0,4045689271,
mcs70_r005_s60.A03,mcs70_r005_s60.B03,dal_dal,33,56,6232004176,1000.01,1,60,136626950,19.8098,4103472774,4103472774,0,4103472836,
mcs70_r005_s60.A04,mcs70_r005_s60.B04,dal_dal,34,58,5696757997,1000.02,1,60,51017039,8.16543,3813562545,3813562545,0,3813562425,
mcs70_r005_s60.A05,mcs70_r005_s60.B05,dal_dal,34,55,5291509342,1000.02,1,60,422548417,80.6562,3460198705,3460198705,0,3460198704,
mcs70_r005_s60.A06,mcs70_r005_s60.B06,dal_dal,34,58,6323725581,1000.02,1,60,14469924,2.25651,4053738966,4053738966,0,4053738936,
mcs70_r005_s60.A07,mcs70_r005_s60.B07,dal_dal,36,70,5400167911,1000.02,1,60,2407990679,436.603,3617971642,3617971642,0,3617971530,
mcs70_r005_s60.A08,mcs70_r005_s60.B08,dal_dal,34,50,5452172520,1000.02,1,60,2083396593,370.677,3439415578,3439415578,0,3439415553,
mcs70_r005_s60.A09,mcs70_r005_s60.B09,dal_dal,36,60,5704943586,1000.02,1,60,178283870,29.5348,3796292274,3796292274,0,3796292308,
mcs70_r005_s70.A00,mcs70_r005_s70.B00,dal_dal,36,71,5566372502,1000.02,1,70,1896547374,333.708,3543445161,3543445161,0,3543445151,
mcs70_r005_s70.A01,mcs70_r005_s70.B01,dal_dal,36,62,5811171821,1000.02,1,70,330306247,56.6476,3607233370,3607233370,0,3607233390,
mcs70_r005_s70.A02,mcs70_r005_s70.B02,dal_dal,37,70,5759260775,1000.02,1,70,629679079,101.495,3747850628,3747850628,0,3747850680,
mcs70_r005_s70.A03,mcs70_r005_s70.B03,dal_dal,35,72,5617449645,1000.02,1,70,168000621,29.881,3454800219,3454800219,0,3454800272,
mcs70_r005_s70.A04,mcs70_r005_s70.B04,dal_dal,37,74,6038990565,1000.01,1,70,769247724,127.797,3844886741,3844886741,0,3844886773,
mcs70_r005_s70.A05,mcs70_r005_s70.B05,dal_dal,36,68,5846241513,1000.02,1,70,177083897,27.8475,3597903550,3597903550,0,3597903580,
mcs70_r005_s70.A06,mcs70_r005_s70.B06,dal_dal,36,65,6058996552,1000.02,1,70,141002472,22.3116,3952019023,3952019023,0,3952019031,
mcs70_r005_s70.A07,mcs70_r005_s70.B07,dal_dal,37,68,5195681642,1000.01,1,70,1759296709,316.065,3237013369,3237013369,0,3237013481,
mcs70_r005_s70.A08,mcs70_r005_s70.B08,dal_dal,38,80,5126801541,1000.01,1,70,4164675418,802.825,3298873596,3298873596,0,3298873588,
mcs70_r005_s70.A09,mcs70_r005_s70.B09,dal_dal,37,68,5356253599,1000.01,1,70,224752760,39.1582,3459072317,3459072317,0,3459072267,
mcs70_r005_s80.A00,mcs70_r005_s80.B00,dal_dal,40,92,5467541797,1000.02,1,80,85136845,13.8248,3513131042,3513131042,0,3513131021,
mcs70_r005_s80.A01,mcs70_r005_s80.B01,dal_dal,39,74,5556004516,1000.02,1,80,1345528084,230.044,3534790089,3534790089,0,3534790126,
mcs70_r005_s80.A02,mcs70_r005_s80.B02,dal_dal,38,77,5478414331,1000.01,1,80,1048665121,181.933,3462109091,3462109091,0,3462109050,
mcs70_r005_s80.A03,mcs70_r005_s80.B03,dal_dal,39,84,5426280254,1000.02,1,80,112749298,19.8807,3458983542,3458983542,0,3458983601,
mcs70_r005_s80.A04,mcs70_r005_s80.B04,dal_dal,40,83,5096784797,1000.02,1,80,1896845624,363.423,3212649962,3212649962,0,3212649975,
mcs70_r005_s80.A05,mcs70_r005_s80.B05,dal_dal,39,73,5248455304,1000.02,1,80,1767000789,326.47,3286401108,3286401108,0,3286401153,
mcs70_r005_s80.A06,mcs70_r005_s80.B06,dal_dal,40,79,5558423765,1000.02,1,80,4283835450,760.501,3626901721,3626901721,0,3626901678,
mcs70_r005_s80.A07,mcs70_r005_s80.B07,dal_dal,38,59,5199225759,1000.02,1,80,727397810,134.868,3226873011,3226873011,0,3226873032,
mcs70_r005_s80.A08,mcs70_r005_s80.B08,dal_dal,39,67,5535811296,1000.02,1,80,1439989589,260.245,3497658048,3497658048,0,3497658103,
mcs70_r005_s80.A09,mcs70_r005_s80.B09,dal_dal,39,83,5518767949,1000.01,1,80,3383267305,606.644,3382206555,3382206555,0,3382206543,
mcs70_r005_s90.A00,mcs70_r005_s90.B00,dal_dal,40,89,4999194727,1000.02,1,90,969573035,190.407,3055700341,3055700341,0,3055700347,
mcs70_r005_s90.A01,mcs70_r005_s90.B01,dal_dal,41,94,5096144211,1000.01,1,90,2441521230,457,3077226048,3077226048,0,3077226120,
mcs70_r005_s90.A02,mcs70_r005_s90.B02,dal_dal,39,80,4958438387,1000.02,1,90,17295146,3.19954,3025566399,3025566399,0,3025566473,
