instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned
mcs30_b09_s50.A09,mcs30_b09_s50.B09,rrsplit_nomax,25,36,2400151070,1000.02,1,74553758,28.8324,4461489502,4461489502,56
mcs30_b09_s60.A00,mcs30_b09_s60.B00,rrsplit_nomax,30,43,2518314787,1000.02,1,1951530425,765.998,4351549012,4351549012,54
mcs30_b09_s60.A01,mcs30_b09_s60.B01,rrsplit_nomax,29,41,2491711142,1000.02,1,403500900,159.727,4505004239,4505004239,59
mcs30_b09_s60.A02,mcs30_b09_s60.B02,rrsplit_nomax,29,38,1270577630,1000.01,1,1050164173,813.002,2210586035,2210586035,69
mcs30_b09_s60.A03,mcs30_b09_s60.B03,rrsplit_nomax,30,36,2430618376,1000.02,1,151164985,58.825,4391258568,4391258568,30
mcs30_b09_s60.A04,mcs30_b09_s60.B04,rrsplit_nomax,29,31,2630800163,1000.01,1,2185331653,822.76,4417915404,4417915404,30
mcs30_b09_s60.A05,mcs30_b09_s60.B05,rrsplit_nomax,29,48,2430551658,1000.01,1,901036160,358.651,4507122689,4507122689,37
mcs30_b09_s60.A06,mcs30_b09_s60.B06,rrsplit_nomax,28,58,2552779064,1000.02,1,8554,0.00259768,4315820685,4315820685,26
mcs30_b09_s60.A07,mcs30_b09_s60.B07,rrsplit_nomax,29,54,2495456664,1000.02,1,917436061,364.823,4442018164,4442018164,47
mcs30_b09_s60.A08,mcs30_b09_s60.B08,rrsplit_nomax,29,64,2475565958,1000.01,1,61390155,22.1682,4309858924,4309858924,43
mcs30_b09_s60.A09,mcs30_b09_s60.B09,rrsplit_nomax,29,64,2551709008,1000.01,1,524879422,203.706,4359724002,4359724002,75
mcs30_b09_s70.A00,mcs30_b09_s70.B00,rrsplit_nomax,33,44,2766560608,1000.02,1,2082710078,744.168,4805654410,4805654410,75
mcs30_b09_s70.A01,mcs30_b09_s70.B01,rrsplit_nomax,32,37,2735209202,1000.02,1,179573586,64.3632,4665769539,4665769539,78
mcs30_b09_s70.A02,mcs30_b09_s70.B02,rrsplit_nomax,34,65,2628942927,1000.01,1,1603251622,592.146,4471608423,4471608423,77
mcs30_b09_s70.A03,mcs30_b09_s70.B03,rrsplit_nomax,33,38,2521390764,1000.02,1,1250892275,479.715,4481418879,4481418879,76
mcs30_b09_s70.A04,mcs30_b09_s70.B04,rrsplit_nomax,33,54,2635536691,1000.02,1,138427892,47.8563,4683945432,4683945432,32
mcs30_b09_s70.A05,mcs30_b09_s70.B05,rrsplit_nomax,34,61,2309720428,1000.01,1,260960340,107.292,4131743145,4131743145,75
mcs30_b09_s70.A06,mcs30_b09_s70.B06,rrsplit_nomax,33,41,2516879915,1000.02,1,23581329,8.14665,4304988076,4304988076,38
mcs30_b09_s70.A07,mcs30_b09_s70.B07,rrsplit_nomax,32,42,2605041358,1000.02,1,655353,0.221697,4452145283,4452145283,88
mcs30_b09_s70.A08,mcs30_b09_s70.B08,rrsplit_nomax,33,41,2542850049,1000.02,1,1257580902,485.868,4473700285,4473700285,85
mcs30_b09_s70.A09,mcs30_b09_s70.B09,rrsplit_nomax,33,40,2713235143,1000.02,1,951081835,339.623,4597851673,4597851673,77
mcs30_b09_s80.A00,mcs30_b09_s80.B00,rrsplit_nomax,35,43,2748961736,1000.02,1,2529849797,917.585,4524992291,4524992291,39
mcs30_b09_s80.A01,mcs30_b09_s80.B01,rrsplit_nomax,36,53,2631822016,1000.01,1,115376702,40.9497,4644707643,4644707643,50
mcs30_b09_s80.A02,mcs30_b09_s80.B02,rrsplit_nomax,37,60,2502608459,1000.02,1,9661152,3.3504,4195373436,4195373436,29
mcs30_b09_s80.A03,mcs30_b09_s80.B03,rrsplit_nomax,36,48,2652634276,1000.01,1,61719753,22.347,4373953567,4373953567,60
mcs30_b09_s80.A04,mcs30_b09_s80.B04,rrsplit_nomax,38,63,2624215283,1000.02,1,103438,0.0318219,4574786326,4574786326,44
mcs30_b09_s80.A05,mcs30_b09_s80.B05,rrsplit_nomax,36,47,2960254345,1000.01,1,332676493,98.3422,5284186526,5284186526,80
mcs30_b09_s80.A06,mcs30_b09_s80.B06,rrsplit_nomax,36,49,2798714280,1000.02,1,91381738,30.7082,4485562716,4485562716,64
mcs30_b09_s80.A07,mcs30_b09_s80.B07,rrsplit_nomax,37,73,2474460810,1000.02,1,734403676,282.739,4211793416,4211793416,61
mcs30_b09_s80.A08,mcs30_b09_s80.B08,rrsplit_nomax,36,45,2862752967,1000.01,1,361441100,124.302,4771968323,4771968323,93
mcs30_b09_s80.A09,mcs30_b09_s80.B09,rrsplit_nomax,36,46,2654244929,1000.01,1,119031437,38.747,4540306770,4540306770,70
