instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned
mcs10_b06m_s70.A05,mcs10_b06m_s70.B05,rrsplit_nobound,39,36,2904678524,1000.02,1,1075771277,347.693,5502462669,5502462669,61360279
mcs10_b06m_s70.A06,mcs10_b06m_s70.B06,rrsplit_nobound,40,38,2942282315,1000.02,1,904631184,304.413,5430767739,5430767739,43003015
mcs10_b06m_s70.A07,mcs10_b06m_s70.B07,rrsplit_nobound,39,35,3026915268,1000.02,1,426131489,128.219,5415747255,5415747255,34246070
mcs10_b06m_s70.A08,mcs10_b06m_s70.B08,rrsplit_nobound,39,43,3243298095,1000.02,1,595028389,172.502,5657300451,5657300451,43293044
mcs10_b06m_s70.A09,mcs10_b06m_s70.B09,rrsplit_nobound,38,38,2936932123,1000.02,1,454740215,150.737,5387130293,5387130293,33282507
mcs10_b06m_s80.A00,mcs10_b06m_s80.B00,rrsplit_nobound,43,48,3065576680,1000.01,1,164613571,52.2284,5051279073,5051279073,48545293
mcs10_b06m_s80.A01,mcs10_b06m_s80.B01,rrsplit_nobound,44,46,3194446008,1000.01,1,2843296553,882.297,5330448522,5330448522,74050357
mcs10_b06m_s80.A02,mcs10_b06m_s80.B02,rrsplit_nobound,45,59,2914794320,1000.02,1,267158661,86.2914,4711381682,4711381682,20399023
mcs10_b06m_s80.A03,mcs10_b06m_s80.B03,rrsplit_nobound,45,49,2974713935,1000.02,1,146819570,48.441,5653460796,5653460796,40858352
mcs10_b06m_s80.A04,mcs10_b06m_s80.B04,rrsplit_nobound,45,47,3236009808,1000.02,1,1962933189,597.433,6018402943,6018402943,76997123
mcs10_b06m_s80.A05,mcs10_b06m_s80.B05,rrsplit_nobound,42,41,3501056768,1000.02,1,273438578,76.4296,6787996902,6787996902,136573376
mcs10_b06m_s80.A06,mcs10_b06m_s80.B06,rrsplit_nobound,44,44,3441845352,1000.02,1,1305370309,366.097,6152637615,6152637615,77573094
mcs10_b06m_s80.A07,mcs10_b06m_s80.B07,rrsplit_nobound,44,43,3174939722,1000.02,1,2090125441,642.136,5219209051,5219209051,31702291
mcs10_b06m_s80.A08,mcs10_b06m_s80.B08,rrsplit_nobound,42,44,3349668522,1000.02,1,22749116,6.73181,6139777126,6139777126,47371441
mcs10_b06m_s80.A09,mcs10_b06m_s80.B09,rrsplit_nobound,45,45,3351334376,1000.02,1,2615365205,768.425,6164698765,6164698765,72555733
mcs10_b06m_s90.A00,mcs10_b06m_s90.B00,rrsplit_nobound,50,47,2902922169,1000.01,1,2216911293,745.604,5126021243,5126021243,74600646
mcs10_b06m_s90.A01,mcs10_b06m_s90.B01,rrsplit_nobound,49,47,3258464843,1000.01,1,2482203970,756.73,6215049926,6215049926,92982880
mcs10_b06m_s90.A02,mcs10_b06m_s90.B02,rrsplit_nobound,49,57,3146815875,1000.01,1,166105708,52.0138,5668536948,5668536948,85792094
mcs10_b06m_s90.A03,mcs10_b06m_s90.B03,rrsplit_nobound,49,43,3196823029,1000.01,1,2574381853,796.441,6264853770,6264853770,93407891
mcs10_b06m_s90.A04,mcs10_b06m_s90.B04,rrsplit_nobound,47,42,3045587142,1000.01,1,1242794220,398.535,5241839046,5241839046,69489787
mcs10_b06m_s90.A05,mcs10_b06m_s90.B05,rrsplit_nobound,49,53,3130613908,1000.01,1,173786263,50.3624,4863298901,4863298901,47842870
mcs10_b06m_s90.A06,mcs10_b06m_s90.B06,rrsplit_nobound,49,54,3328273485,1000.01,1,35599904,9.73067,5165855818,5165855818,53877410
mcs10_b06m_s90.A07,mcs10_b06m_s90.B07,rrsplit_nobound,47,47,3258028497,1000.01,1,1366711,0.394377,5821134209,5821134209,40040823
mcs10_b06m_s90.A08,mcs10_b06m_s90.B08,rrsplit_nobound,48,50,2999504721,1000.01,1,240260410,78.0201,4876475611,4876475611,60738833
mcs10_b06m_s90.A09,mcs10_b06m_s90.B09,rrsplit_nobound,48,45,3059962792,1000.02,1,211499908,65.5271,6149306866,6149306866,87433748
mcs10_b09_s100.A00,mcs10_b09_s100.B00,rrsplit_nobound,42,51,3032974770,1000.02,1,2960963884,975.103,4574605530,4574605530,27606039
mcs10_b09_s100.A01,mcs10_b09_s100.B01,rrsplit_nobound,43,55,2707017218,1000.02,1,2494461544,916.677,4782919200,4782919200,35114838
mcs10_b09_s100.A02,mcs10_b09_s100.B02,rrsplit_nobound,44,63,3147638221,1000.02,1,1597229751,491.184,5307959677,5307959677,57746582
mcs10_b09_s100.A03,mcs10_b09_s100.B03,rrsplit_nobound,44,50,2787749266,1000.02,1,312321162,100.653,4590583444,4590583444,34952220
mcs10_b09_s100.A04,mcs10_b09_s100.B04,rrsplit_nobound,43,53,1355207737,1000.02,1,709474561,522.392,2230066529,2230066529,11062063
mcs10_b09_s100.A05,mcs10_b09_s100.B05,rrsplit_nobound,44,69,1402521336,1000.02,1,219674364,153.428,2298424595,2298424595,26766673
mcs10_b09_s100.A06,mcs10_b09_s100.B06,rrsplit_nobound,43,43,1399053369,1000.01,1,19612272,12.8974,2308727445,2308727445,17689432
mcs10_b09_s100.A07,mcs10_b09_s100.B07,rrsplit_nobound,45,57,1258813329,1000.01,1,908145845,707.982,2031859103,2031859103,12641513
mcs10_b09_s100.A08,mcs10_b09_s100.B08,rrsplit_nobound,44,65,1348909379,1000.01,1,505741128,351.35,2376949486,2376949486,20701031
mcs10_b09_s100.A09,mcs10_b09_s100.B09,rrsplit_nobound,44,50,1409541437,1000.02,1,547907194,379.921,2250077338,2250077338,18826354
mcs10_b09m_s100.A00,mcs10_b09m_s100.B00,rrsplit_nobound,42,54,1395416038,1000.01,1,5644688,3.82531,2328406934,2328406934,12541531
mcs10_b09m_s100.A01,mcs10_b09m_s100.B01,rrsplit_nobound,45,68,1360643852,1000.02,1,121767138,88.7952,2242013239,2242013239,14338504
mcs10_b09m_s100.A02,mcs10_b09m_s100.B02,rrsplit_nobound,42,49,1363789338,1000.02,1,90204965,60.7995,2199356101,2199356101,8414721
