instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned
mcs90_b06m_s40.A01,mcs90_b06m_s40.B01,dsb_never,36,106,20854276,3.17639,0,20848286,3.1749,13824225,13824225,0
mcs90_b06m_s40.A02,mcs90_b06m_s40.B02,dsb_never,36,108,3318,0.000732777,0,37,5.15E-05,2508,2508,0
mcs90_b06m_s40.A03,mcs90_b06m_s40.B03,dsb_never,36,104,3160950,0.368497,0,3157749,0.367897,2041628,2041628,0
mcs90_b06m_s40.A04,mcs90_b06m_s40.B04,dsb_never,36,106,675092,0.0830004,0,671151,0.0822517,456863,456863,0
mcs90_b06m_s40.A05,mcs90_b06m_s40.B05,dsb_never,36,105,28614,0.00443905,0,22838,0.00344494,18131,18131,0
mcs90_b06m_s40.A06,mcs90_b06m_s40.B06,dsb_never,36,105,3060,0.000614034,0,693,0.000148323,2122,2122,0
mcs90_b06m_s40.A07,mcs90_b06m_s40.B07,dsb_never,36,107,677645,0.0808022,0,674081,0.080118,423174,423174,0
mcs90_b06m_s40.A08,mcs90_b06m_s40.B08,dsb_never,36,107,5171543,0.572124,0,5166673,0.571284,3529261,3529261,0
mcs90_b06m_s40.A09,mcs90_b06m_s40.B09,dsb_never,36,107,4658,0.000864641,0,37,4.27E-05,3465,3465,0
mcs90_b06m_s50.A00,mcs90_b06m_s50.B00,dsb_never,31,57,8688767728,1000.02,1,7956083415,907.152,5838012821,5838012821,0
mcs90_b06m_s50.A01,mcs90_b06m_s50.B01,dsb_never,45,132,21543,0.00365087,0,1416,0.000290517,14849,14849,0
mcs90_b06m_s50.A02,mcs90_b06m_s50.B02,dsb_never,45,134,19411,0.00326885,0,8854,0.00141074,12477,12477,0
mcs90_b06m_s50.A03,mcs90_b06m_s50.B03,dsb_never,45,135,16463903,2.12655,0,16449846,2.12399,10803441,10803441,0
mcs90_b06m_s50.A04,mcs90_b06m_s50.B04,dsb_never,45,128,4036449723,946.414,0,4036430312,946.407,2717512542,2717512542,0
mcs90_b06m_s50.A05,mcs90_b06m_s50.B05,dsb_never,45,135,13638,0.00250788,0,46,4.62E-05,10189,10189,0
mcs90_b06m_s50.A06,mcs90_b06m_s50.B06,dsb_never,45,134,12675,0.00232231,0,46,4.61E-05,8897,8897,0
mcs90_b06m_s50.A07,mcs90_b06m_s50.B07,dsb_never,45,135,16413,0.00316244,0,46,6.44E-05,12082,12082,0
mcs90_b06m_s50.A08,mcs90_b06m_s50.B08,dsb_never,45,135,155260437,20.4996,0,155250225,20.4977,104564641,104564641,0
mcs90_b06m_s50.A09,mcs90_b06m_s50.B09,dsb_never,45,131,73103556,8.4836,0,73082891,8.47991,48273110,48273110,0
mcs90_b06m_s60.A00,mcs90_b06m_s60.B00,dsb_never,54,161,1633924471,225.43,0,1633891124,225.424,1110112473,1110112473,0
mcs90_b06m_s60.A01,mcs90_b06m_s60.B01,dsb_never,54,160,33939,0.0065811,0,55,5.97E-05,23667,23667,0
mcs90_b06m_s60.A02,mcs90_b06m_s60.B02,dsb_never,54,161,1726339960,225.435,0,1726302895,225.428,1194203490,1194203490,0
mcs90_b06m_s60.A03,mcs90_b06m_s60.B03,dsb_never,54,158,336184,0.0522283,0,280973,0.0426367,216840,216840,0
mcs90_b06m_s60.A04,mcs90_b06m_s60.B04,dsb_never,54,162,37151,0.00700531,0,3121,0.000593631,26154,26154,0
mcs90_b06m_s60.A05,mcs90_b06m_s60.B05,dsb_never,34,53,9706080524,1000.02,1,8361611693,854.459,6743461845,6743461845,0
mcs90_b06m_s60.A06,mcs90_b06m_s60.B06,dsb_never,35,45,9329921205,1000.02,1,8399648507,891.474,6466241375,6466241375,0
mcs90_b06m_s60.A07,mcs90_b06m_s60.B07,dsb_never,54,160,45720,0.00851654,0,55,5.90E-05,31634,31634,0
mcs90_b06m_s60.A08,mcs90_b06m_s60.B08,dsb_never,54,160,58617,0.0106316,0,55,5.67E-05,40228,40228,0
mcs90_b06m_s60.A09,mcs90_b06m_s60.B09,dsb_never,34,52,8873349931,1000.01,1,5837608266,646.116,6048110141,6048110141,0
mcs90_b06m_s70.A00,mcs90_b06m_s70.B00,dsb_never,63,187,2745107,0.459026,0,2543004,0.421372,1812090,1812090,0
