instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned
mcs90_m4Dr6_s20.A00,mcs90_m4Dr6_s20.B00,dal_rl,17,31,2889,0.000548429,0,2372,0.000399354,1863,1863,0
mcs90_m4Dr6_s20.A01,mcs90_m4Dr6_s20.B01,dal_rl,16,21,35828,0.0049168,0,34576,0.00470055,23248,23248,0
mcs90_m4Dr6_s20.A02,mcs90_m4Dr6_s20.B02,dal_rl,16,26,35128,0.00496431,0,34707,0.00485262,23596,23596,0
mcs90_m4Dr6_s20.A03,mcs90_m4Dr6_s20.B03,dal_rl,16,28,42660,0.00635663,0,42304,0.00625859,29136,29136,0
mcs90_m4Dr6_s20.A04,mcs90_m4Dr6_s20.B04,dal_rl,17,27,40778,0.00553912,0,40659,0.00548964,27742,27742,0
mcs90_m4Dr6_s20.A05,mcs90_m4Dr6_s20.B05,dal_rl,16,35,13987,0.00213752,0,12153,0.0018062,9185,9185,0
mcs90_m4Dr6_s20.A06,mcs90_m4Dr6_s20.B06,dal_rl,16,29,29469,0.00435674,0,26961,0.00391651,18700,18700,0
mcs90_m4Dr6_s20.A07,mcs90_m4Dr6_s20.B07,dal_rl,16,28,3400,0.000620333,0,963,0.000156455,2334,2334,0
mcs90_m4Dr6_s20.A08,mcs90_m4Dr6_s20.B08,dal_rl,16,34,45048,0.00703137,0,44009,0.00682333,29267,29267,0
mcs90_m4Dr6_s20.A09,mcs90_m4Dr6_s20.B09,dal_rl,16,30,8863,0.00131682,0,6078,0.000840937,5932,5932,0
mcs90_m4Dr6_s90.A00,mcs90_m4Dr6_s90.B00,dal_rl,53,113,5508893584,1000.01,1,1128852259,198.863,3845115394,3845115394,0
mcs90_m4Dr6_s90.A01,mcs90_m4Dr6_s90.B01,dal_rl,54,102,6310641398,1000.01,1,183334075,29.4432,4122454354,4122454354,0
mcs90_m4Dr6_s90.A02,mcs90_m4Dr6_s90.B02,dal_rl,38,62,4862684169,1000.01,1,89165290,21.014,4049032927,4049032927,0
mcs90_m4Dr6_s90.A03,mcs90_m4Dr6_s90.B03,dal_rl,38,64,8572007811,1000.02,1,145104,0.0241957,6157032770,6157032770,0
mcs90_m4Dr6_s90.A04,mcs90_m4Dr6_s90.B04,dal_rl,54,114,7320597567,1000.02,1,5918036235,804.385,5083695511,5083695511,0
mcs90_m4Dr6_s90.A05,mcs90_m4Dr6_s90.B05,dal_rl,37,57,6725686531,1000.02,1,620987644,60.5695,5393155771,5393155771,0
mcs90_m4Dr6_s90.A06,mcs90_m4Dr6_s90.B06,dal_rl,33,72,11338721972,1000.02,1,216,7.32E-05,9776128097,9776128097,0
mcs90_m4Dr6_s90.A07,mcs90_m4Dr6_s90.B07,dal_rl,36,65,11453830860,1000.02,1,3040,0.000447656,9737541935,9737541935,0
mcs90_m4Dr6_s90.A08,mcs90_m4Dr6_s90.B08,dal_rl,39,57,5958673672,1000.01,1,3144592420,472.223,4142418142,4142418142,0
mcs90_m4Dr6_s90.A09,mcs90_m4Dr6_s90.B09,dal_rl,36,58,9280181910,1000.02,1,48451045,6.05681,6899176662,6899176662,0
mcs90_r001_s100.A00,mcs90_r001_s100.B00,dal_rl,67,65,21423716992,1000.02,1,8785933187,409.081,17334597695,17334597695,0
mcs90_r001_s100.A01,mcs90_r001_s100.B01,dal_rl,66,58,15771199227,1000.01,1,944936,0.0464994,13989134476,13989134476,0
mcs90_r001_s100.A02,mcs90_r001_s100.B02,dal_rl,68,63,15948843537,1000.02,1,226839546,12.4323,13615483291,13615483291,0
mcs90_r001_s100.A03,mcs90_r001_s100.B03,dal_rl,64,65,21046051590,1000.02,1,707,0.000147071,17295324920,17295324920,0
mcs90_r001_s100.A04,mcs90_r001_s100.B04,dal_rl,67,60,16791065247,1000.01,1,6184,0.000400232,14254059033,14254059033,0
mcs90_r001_s100.A05,mcs90_r001_s100.B05,dal_rl,70,60,15338355735,1000.01,1,31355226,1.50382,14092464181,14092464181,0
mcs90_r001_s100.A06,mcs90_r001_s100.B06,dal_rl,69,61,17859777636,1000.02,1,1845392209,103.61,13458961275,13458961275,0
mcs90_r001_s100.A07,mcs90_r001_s100.B07,dal_rl,67,54,9919306389,1000.02,1,7783081581,781.578,8795287097,8795287097,0
mcs90_r001_s100.A08,mcs90_r001_s100.B08,dal_rl,73,67,8118661132,1000.02,1,120069775,15.0085,6641641151,6641641151,0
mcs90_r001_s100.A09,mcs90_r001_s100.B09,dal_rl,69,59,19350308155,1000.02,1,7090978756,365.065,16192859939,16192859939,0
mcs90_r005_s100.A00,mcs90_r005_s100.B00,dal_rl,39,81,4777647274,1000.02,1,278275136,56.2523,2805224778,2805224778,0
mcs90_r005_s100.A01,mcs90_r005_s100.B01,dal_rl,41,96,4373946032,1000.02,1,524405870,117.844,2620628067,2620628067,0
mcs90_r005_s100.A02,mcs90_r005_s100.B02,dal_rl,41,80,4390026462,1000.02,1,302241204,63.4026,2713756777,2713756777,0
mcs90_r005_s100.A03,mcs90_r005_s100.B03,dal_rl,42,90,4139225848,1000.02,1,2159372407,508.605,2564837029,2564837029,0
mcs90_r005_s100.A04,mcs90_r005_s100.B04,dal_rl,42,95,5628969454,1000.02,1,151403592,25.7482,3513048392,3513048392,0
mcs90_r005_s100.A05,mcs90_r005_s100.B05,dal_rl,41,83,5015277748,1000.02,1,476393348,92.2043,3000544298,3000544298,0
mcs90_r005_s100.A06,mcs90_r005_s100.B06,dal_rl,42,93,5298411820,1000.01,1,2517470568,456.343,3324718187,3324718187,0
mcs90_r005_s100.A07,mcs90_r005_s100.B07,dal_rl,41,71,5251462406,1000.02,1,486091197,87.6892,3238532386,3238532386,0
mcs90_r005_s100.A08,mcs90_r005_s100.B08,dal_rl,40,91,5558447778,1000.01,1,61289418,11.0638,3430784616,3430784616,0
mcs90_r005_s100.A09,mcs90_r005_s100.B09,dal_rl,41,82,5272894331,1000.02,1,3075249006,579.772,3330289257,3330289257,0
mcs90_r005_s20.A00,mcs90_r005_s20.B00,dal_rl,19,20,201234,0.0125458,0,201163,0.0125044,142903,142903,0
mcs90_r005_s20.A01,mcs90_r005_s20.B01,dal_rl,18,19,3299,0.000271919,0,2905,0.00019943,2347,2347,0
mcs90_r005_s20.A02,mcs90_r005_s20.B02,dal_rl,18,17,2177,0.000276086,0,975,0.000117036,1510,1510,0
mcs90_r005_s20.A03,mcs90_r005_s20.B03,dal_rl,18,18,4425,0.000538992,0,4349,0.000500234,3379,3379,0
mcs90_r005_s20.A04,mcs90_r005_s20.B04,dal_rl,18,18,9202,0.00108932,0,8737,0.00100452,6345,6345,0
mcs90_r005_s20.A05,mcs90_r005_s20.B05,dal_rl,18,17,26638,0.00215989,0,26249,0.00207483,18764,18764,0
mcs90_r005_s20.A06,mcs90_r005_s20.B06,dal_rl,18,18,24157,0.00227179,0,23891,0.00221041,17088,17088,0
mcs90_r005_s20.A07,mcs90_r005_s20.B07,dal_rl,18,19,2401,0.000323797,0,2148,0.00025879,1794,1794,0
mcs90_r005_s20.A08,mcs90_r005_s20.B08,dal_rl,18,16,3877,0.000443468,0,3629,0.000385841,2679,2679,0
mcs90_r005_s20.A09,mcs90_r005_s20.B09,dal_rl,18,18,3804,0.000463167,0,3556,0.000401934,2654,2654,0
mcs90_r005_s25.A00,mcs90_r005_s25.B00,dal_rl,22,23,15438,0.00199266,0,13017,0.00159976,11279,11279,0
mcs90_r005_s25.A01,mcs90_r005_s25.B01,dal_rl,22,23,3287376,0.248905,0,3278350,0.247763,2410775,2410775,0
mcs90_r005_s25.A02,mcs90_r005_s25.B02,dal_rl,22,25,139877,0.00915217,0,138499,0.0083522,106917,106917,0
mcs90_r005_s25.A03,mcs90_r005_s25.B03,dal_rl,22,24,10871,0.00180412,0,9174,0.00153622,7270,7270,0
mcs90_r005_s25.A04,mcs90_r005_s25.B04,dal_rl,22,25,56329,0.00477973,0,54213,0.004505,40512,40512,0
mcs90_r005_s25.A05,mcs90_r005_s25.B05,dal_rl,22,22,41355,0.00478106,0,39262,0.00451288,28191,28191,0
mcs90_r005_s25.A06,mcs90_r005_s25.B06,dal_rl,23,25,1170,0.000211049,0,904,0.000130507,771,771,0
mcs90_r005_s25.A07,mcs90_r005_s25.B07,dal_rl,22,22,188834,0.0211852,0,181443,0.0202914,130447,130447,0
mcs90_r005_s25.A08,mcs90_r005_s25.B08,dal_rl,22,23,40667,0.00651244,0,37462,0.00582368,28504,28504,0
mcs90_r005_s25.A09,mcs90_r005_s25.B09,dal_rl,22,22,79420,0.00913234,0,77905,0.00886324,56672,56672,0
mcs90_r005_s30.A00,mcs90_r005_s30.B00,dal_rl,27,34,1307153,0.185004,0,1304571,0.184528,899624,899624,0
mcs90_r005_s30.A01,mcs90_r005_s30.B01,dal_rl,27,37,145838,0.0224572,0,143840,0.0220689,111161,111161,0
mcs90_r005_s30.A02,mcs90_r005_s30.B02,dal_rl,27,34,426380,0.0466858,0,425411,0.0464865,297251,297251,0
mcs90_r005_s30.A03,mcs90_r005_s30.B03,dal_rl,27,35,1727231,0.211175,0,1724865,0.210725,1188673,1188673,0
mcs90_r005_s30.A04,mcs90_r005_s30.B04,dal_rl,27,38,317080,0.0308369,0,313407,0.030274,230863,230863,0
mcs90_r005_s30.A05,mcs90_r005_s30.B05,dal_rl,27,34,246917,0.0322916,0,245128,0.0319882,165142,165142,0
mcs90_r005_s30.A06,mcs90_r005_s30.B06,dal_rl,27,38,624139,0.0727411,0,623065,0.0725184,438187,438187,0
mcs90_r005_s30.A07,mcs90_r005_s30.B07,dal_rl,27,35,74696,0.0100171,0,73621,0.00982791,51600,51600,0
mcs90_r005_s30.A08,mcs90_r005_s30.B08,dal_rl,27,35,468118,0.0521734,0,466573,0.0518971,338743,338743,0
mcs90_r005_s30.A09,mcs90_r005_s30.B09,dal_rl,27,31,1220980,0.145823,0,1218895,0.145489,896717,896717,0
mcs90_r005_s35.A00,mcs90_r005_s35.B00,dal_rl,31,45,2065177,0.281175,0,2063371,0.280805,1416123,1416123,0
mcs90_r005_s35.A01,mcs90_r005_s35.B01,dal_rl,31,41,618111,0.0798181,0,616891,0.0795285,454490,454490,0
mcs90_r005_s35.A02,mcs90_r005_s35.B02,dal_rl,31,43,2858437,0.370332,0,2853692,0.369482,1910191,1910191,0
mcs90_r005_s35.A03,mcs90_r005_s35.B03,dal_rl,31,47,5408498,0.721548,0,5398870,0.719931,3840288,3840288,0
mcs90_r005_s35.A04,mcs90_r005_s35.B04,dal_rl,31,44,1400014,0.208261,0,1397180,0.207754,987488,987488,0
mcs90_r005_s35.A05,mcs90_r005_s35.B05,dal_rl,31,47,313646,0.0434303,0,302823,0.0416059,222877,222877,0
mcs90_r005_s35.A06,mcs90_r005_s35.B06,dal_rl,31,43,4805156,0.611823,0,4801690,0.611248,3291542,3291542,0
mcs90_r005_s35.A07,mcs90_r005_s35.B07,dal_rl,31,47,12263860,1.55278,0,12254973,1.55131,8503714,8503714,0
mcs90_r005_s35.A08,mcs90_r005_s35.B08,dal_rl,31,47,2457878,0.326369,0,2445189,0.324204,1717452,1717452,0
mcs90_r005_s35.A09,mcs90_r005_s35.B09,dal_rl,31,49,2160673,0.26901,0,2153531,0.267813,1486991,1486991,0
mcs90_r005_s40.A00,mcs90_r005_s40.B00,dal_rl,36,61,7160185,1.01599,0,7153703,1.01473,4813991,4813991,0
mcs90_r005_s40.A01,mcs90_r005_s40.B01,dal_rl,36,65,16250153,2.21001,0,16248731,2.20966,11662496,11662496,0
