instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned
mcs90_b06_s40.A00,mcs90_b06_s40.B00,rrsplit_noveq,36,108,9865,0.00300507,0,1306,0.000429665,14530,14530,54
mcs90_b06_s40.A01,mcs90_b06_s40.B01,rrsplit_noveq,36,108,13579,0.00380816,0,370,0.000217197,18680,18680,105
mcs90_b06_s40.A02,mcs90_b06_s40.B02,rrsplit_noveq,36,108,15647,0.00444619,0,1944,0.000627324,21224,21224,141
mcs90_b06_s40.A03,mcs90_b06_s40.B03,rrsplit_noveq,37,109,7542,0.00217644,0,6680,0.00171405,13565,13565,408
mcs90_b06_s40.A04,mcs90_b06_s40.B04,rrsplit_noveq,36,108,11425,0.00332295,0,128,0.00010641,16090,16090,45
mcs90_b06_s40.A05,mcs90_b06_s40.B05,rrsplit_noveq,37,109,8074,0.00224717,0,7458,0.00193192,10429,10429,75
mcs90_b06_s40.A06,mcs90_b06_s40.B06,rrsplit_noveq,36,108,12872,0.00374536,0,4480,0.00111625,20855,20855,320
mcs90_b06_s40.A07,mcs90_b06_s40.B07,rrsplit_noveq,37,109,49498,0.0109484,0,48853,0.0106135,76534,76534,518
mcs90_b06_s40.A08,mcs90_b06_s40.B08,rrsplit_noveq,36,108,11356,0.00323881,0,1440,0.000449275,16174,16174,68
mcs90_b06_s40.A09,mcs90_b06_s40.B09,rrsplit_noveq,37,109,3148,0.00119101,0,1515,0.000475896,5503,5503,131
mcs90_b06_s50.A00,mcs90_b06_s50.B00,rrsplit_noveq,45,135,47999,0.0129637,0,594,0.000248273,60931,60931,56
mcs90_b06_s50.A01,mcs90_b06_s50.B01,rrsplit_noveq,45,135,72586,0.0190948,0,3702,0.00105947,91672,91672,378
mcs90_b06_s50.A02,mcs90_b06_s50.B02,rrsplit_noveq,46,136,11013,0.00364151,0,5428,0.00171602,17605,17605,99
mcs90_b06_s50.A03,mcs90_b06_s50.B03,rrsplit_noveq,46,136,56563,0.014888,0,40963,0.0104808,81345,81345,711
mcs90_b06_s50.A04,mcs90_b06_s50.B04,rrsplit_noveq,45,135,96961,0.0252972,0,66448,0.0159285,152853,152853,421
mcs90_b06_s50.A05,mcs90_b06_s50.B05,rrsplit_noveq,46,136,8731,0.00308688,0,5429,0.00165693,14379,14379,114
mcs90_b06_s50.A06,mcs90_b06_s50.B06,rrsplit_noveq,46,137,33593,0.00909105,0,23130,0.00609019,41700,41700,95
mcs90_b06_s50.A07,mcs90_b06_s50.B07,rrsplit_noveq,46,136,40366,0.0106896,0,34932,0.00896149,49437,49437,163
mcs90_b06_s50.A08,mcs90_b06_s50.B08,rrsplit_noveq,46,136,441488,0.099723,0,435193,0.0974312,706361,706361,8878
mcs90_b06_s50.A09,mcs90_b06_s50.B09,rrsplit_noveq,45,135,70421,0.0183717,0,7865,0.00199652,90016,90016,320
mcs90_b06_s60.A00,mcs90_b06_s60.B00,rrsplit_noveq,55,163,120170,0.0575736,0,69697,0.0292231,150932,150932,280
mcs90_b06_s60.A01,mcs90_b06_s60.B01,rrsplit_noveq,55,163,264962,0.138696,0,191773,0.0991477,367146,367146,3658
mcs90_b06_s60.A02,mcs90_b06_s60.B02,rrsplit_noveq,55,164,110028,0.0464163,0,63940,0.0203102,146297,146297,499
mcs90_b06_s60.A03,mcs90_b06_s60.B03,rrsplit_noveq,54,162,254147,0.0691447,0,2330,0.00075029,315065,315065,332
mcs90_b06_s60.A04,mcs90_b06_s60.B04,rrsplit_noveq,54,162,1740392,0.367687,0,1540155,0.313181,2731570,2731570,44262
mcs90_b06_s60.A05,mcs90_b06_s60.B05,rrsplit_noveq,54,162,1735604,0.405407,0,1483408,0.3391,2800920,2800920,22911
mcs90_b06_s60.A06,mcs90_b06_s60.B06,rrsplit_noveq,55,163,134074,0.0356817,0,54842,0.0142455,172486,172486,183
mcs90_b06_s60.A07,mcs90_b06_s60.B07,rrsplit_noveq,55,164,142501,0.037876,0,103696,0.0271665,176185,176185,180
mcs90_b06_s60.A08,mcs90_b06_s60.B08,rrsplit_noveq,55,163,582401,0.104051,0,532484,0.0900541,758779,758779,2357
mcs90_b06_s60.A09,mcs90_b06_s60.B09,rrsplit_noveq,54,162,454886,0.113811,0,23411,0.00558994,541753,541753,451
mcs90_b06_s70.A00,mcs90_b06_s70.B00,rrsplit_noveq,64,185,25951850,5.45219,0,25792410,5.40633,37591653,37591653,290910
mcs90_b06_s70.A01,mcs90_b06_s70.B01,rrsplit_noveq,63,189,3988104,0.963735,0,2300393,0.546619,5418504,5418504,16067
mcs90_b06_s70.A02,mcs90_b06_s70.B02,rrsplit_noveq,64,191,7946284,1.50633,0,7774001,1.45872,11518166,11518166,50400
mcs90_b06_s70.A03,mcs90_b06_s70.B03,rrsplit_noveq,64,191,18126219,3.91521,0,17851663,3.84232,30438887,30438887,290311
mcs90_b06_s70.A04,mcs90_b06_s70.B04,rrsplit_noveq,64,191,89510220,21.5703,0,89232693,21.4973,141548536,141548536,330644
mcs90_b06_s70.A05,mcs90_b06_s70.B05,rrsplit_noveq,64,190,593695,0.149684,0,264401,0.063395,756541,756541,549
mcs90_b06_s70.A06,mcs90_b06_s70.B06,rrsplit_noveq,63,189,2950946,0.705355,0,2999,0.000785843,3617792,3617792,2192
mcs90_b06_s70.A07,mcs90_b06_s70.B07,rrsplit_noveq,63,189,2226336,0.56037,0,167743,0.0427501,2799219,2799219,3338
mcs90_b06_s70.A08,mcs90_b06_s70.B08,rrsplit_noveq,63,189,1544588,0.4113,0,34382,0.010331,1966901,1966901,1609
mcs90_b06_s70.A09,mcs90_b06_s70.B09,rrsplit_noveq,64,191,319509,0.0872295,0,13052,0.00364819,393292,393292,113
mcs90_b06_s80.A00,mcs90_b06_s80.B00,rrsplit_noveq,72,216,7712967,2.05436,0,431824,0.117817,10215861,10215861,4680
mcs90_b06_s80.A01,mcs90_b06_s80.B01,rrsplit_noveq,73,217,7390823,1.63117,0,6442147,1.379,10885949,10885949,30114
mcs90_b06_s80.A02,mcs90_b06_s80.B02,rrsplit_noveq,72,216,12949184,3.16401,0,72,0.000114272,16157242,16157242,12857
