instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_root_ub, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, unified_conflicts,
mcs30_m2Dr6_s100.A01,mcs30_m2Dr6_s100.B01,dsb_always,57,48,7783512091,1000.01,1,100,149075956,16.1816,4912744316,4912744316,0,0,
mcs30_m2Dr6_s100.A02,mcs30_m2Dr6_s100.B02,dsb_always,58,54,8489945735,1000.02,1,100,3645556387,420.322,5326365532,5326365532,0,0,
mcs30_m2Dr6_s100.A03,mcs30_m2Dr6_s100.B03,dsb_always,57,52,9386961958,1000.02,1,100,440032231,42.642,5922205605,5922205605,0,0,
mcs30_m2Dr6_s100.A04,mcs30_m2Dr6_s100.B04,dsb_always,59,53,9351593094,1000.02,1,100,919774789,90.303,5916040084,5916040084,0,0,
mcs30_m2Dr6_s100.A05,mcs30_m2Dr6_s100.B05,dsb_always,58,53,8154941893,1000.01,1,100,3240519862,381.43,5336464542,5336464542,0,0,
mcs30_m2Dr6_s100.A06,mcs30_m2Dr6_s100.B06,dsb_always,58,55,9971829618,1000.02,1,100,1894475375,97.6944,6752718955,6752718955,0,0,
mcs30_m2Dr6_s100.A07,mcs30_m2Dr6_s100.B07,dsb_always,59,52,20099718482,1000.02,1,100,17621514975,680.374,15054716184,15054716184,0,0,
mcs30_m2Dr6_s100.A08,mcs30_m2Dr6_s100.B08,dsb_always,59,56,10532050568,1000.02,1,100,10371478409,981.766,7048764597,7048764597,0,0,
mcs30_m2Dr6_s100.A09,mcs30_m2Dr6_s100.B09,dsb_always,58,55,7583581986,1000.02,1,100,2246229324,285.525,4719292144,4719292144,0,0,
mcs30_m2Dr6_s30.A00,mcs30_m2Dr6_s30.B00,dsb_always,21,17,3967513,0.487377,0,30,2450840,0.295478,2646187,2646187,0,0,
mcs30_m2Dr6_s30.A01,mcs30_m2Dr6_s30.B01,dsb_always,21,18,6797375,0.797382,0,30,5002115,0.582967,4475916,4475916,0,0,
mcs30_m2Dr6_s30.A02,mcs30_m2Dr6_s30.B02,dsb_always,20,23,15919170,1.86199,0,30,840110,0.0982467,10681857,10681857,0,0,
mcs30_m2Dr6_s30.A03,mcs30_m2Dr6_s30.B03,dsb_always,21,20,2105722,0.258583,0,30,655360,0.0759707,1385683,1385683,0,0,
mcs30_m2Dr6_s30.A04,mcs30_m2Dr6_s30.B04,dsb_always,20,20,9037065,1.1148,0,30,48032,0.00564074,5894945,5894945,0,0,
mcs30_m2Dr6_s30.A05,mcs30_m2Dr6_s30.B05,dsb_always,20,19,11327943,1.34094,0,30,635541,0.0709934,7451967,7451967,0,0,
mcs30_m2Dr6_s30.A06,mcs30_m2Dr6_s30.B06,dsb_always,20,22,12686584,1.5993,0,30,2186806,0.259693,8321480,8321480,0,0,
mcs30_m2Dr6_s30.A07,mcs30_m2Dr6_s30.B07,dsb_always,20,20,11688233,1.39741,0,30,1105618,0.126028,7864889,7864889,0,0,
mcs30_m2Dr6_s30.A08,mcs30_m2Dr6_s30.B08,dsb_always,20,21,17858518,2.31134,0,30,1034875,0.132963,11396285,11396285,0,0,
mcs30_m2Dr6_s30.A09,mcs30_m2Dr6_s30.B09,dsb_always,21,23,8025877,1.0103,0,30,5159497,0.636075,5189453,5189453,0,0,
mcs30_m2Dr6_s50.A00,mcs30_m2Dr6_s50.B00,dsb_always,32,32,7907510756,1000.02,1,50,444812942,56.0212,5149682189,5149682189,0,0,
