instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_root_ub, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, unified_conflicts,
mcs30_r01_s60.A08,mcs30_r01_s60.B08,ll_none,24,35,6643329000,1000.01,1,60,4879321,0.664616,4089948918,4089948918,0,0,
mcs30_r01_s60.A09,mcs30_r01_s60.B09,ll_none,24,31,3849432825,1000.02,1,60,493974182,112.875,2398043299,2398043299,0,0,
mcs30_r01_s70.A00,mcs30_r01_s70.B00,ll_none,26,42,6088326385,1000.01,1,70,159468372,24.5226,3659848218,3659848218,0,0,
mcs30_r01_s70.A01,mcs30_r01_s70.B01,ll_none,25,37,6149812726,1000.01,1,70,730311,0.11491,3680111568,3680111568,0,0,
mcs30_r01_s70.A02,mcs30_r01_s70.B02,ll_none,25,34,6415620505,1000.01,1,70,13704747,2.06051,3928966606,3928966606,0,0,
mcs30_r01_s70.A03,mcs30_r01_s70.B03,ll_none,25,38,3513062720,1000.02,1,70,788906605,221.96,2105692101,2105692101,0,0,
mcs30_r01_s70.A04,mcs30_r01_s70.B04,ll_none,26,33,5736158394,1000.02,1,70,1661290775,281.214,3449560154,3449560154,0,0,
mcs30_r01_s70.A05,mcs30_r01_s70.B05,ll_none,26,29,6018736310,1000.02,1,70,1016025164,156.458,3691306949,3691306949,0,0,
mcs30_r01_s70.A06,mcs30_r01_s70.B06,ll_none,25,37,6055112638,1000.01,1,70,391099232,61.4658,3653964599,3653964599,0,0,
mcs30_r01_s70.A07,mcs30_r01_s70.B07,ll_none,25,36,6432262951,1000.02,1,70,141139099,21.2343,3840739982,3840739982,0,0,
mcs30_r01_s70.A08,mcs30_r01_s70.B08,ll_none,27,36,5899882541,1000.02,1,70,1962471942,322.538,3584550965,3584550965,0,0,
mcs30_r01_s70.A09,mcs30_r01_s70.B09,ll_none,25,40,5793131739,1000.01,1,70,12063782,1.88821,3508894194,3508894194,0,0,
mcs30_r01_s80.A00,mcs30_r01_s80.B00,ll_none,27,44,5903705521,1000.02,1,80,699391465,113.315,3546902465,3546902465,0,0,
mcs30_r01_s80.A01,mcs30_r01_s80.B01,ll_none,26,40,6181053816,1000.02,1,80,345381332,56.1092,3729209404,3729209404,0,0,
mcs30_r01_s80.A02,mcs30_r01_s80.B02,ll_none,27,36,6111758569,1000.01,1,80,5679154014,923.241,3669636030,3669636030,0,0,
mcs30_r01_s80.A03,mcs30_r01_s80.B03,ll_none,26,41,5988065523,1000.02,1,80,9362685,1.48277,3518075460,3518075460,0,0,
mcs30_r01_s80.A04,mcs30_r01_s80.B04,ll_none,26,38,5815028755,1000.01,1,80,626982075,103.981,3453880829,3453880829,0,0,
mcs30_r01_s80.A05,mcs30_r01_s80.B05,ll_none,26,37,6044923336,1000.02,1,80,111192446,18.4281,3554443746,3554443746,0,0,
mcs30_r01_s80.A06,mcs30_r01_s80.B06,ll_none,26,40,5935813698,1000,1,80,661740059,107.899,3548529061,3548529061,0,0,
mcs30_r01_s80.A07,mcs30_r01_s80.B07,ll_none,27,35,6118111619,1000.02,1,80,2383121985,373.539,3642599205,3642599205,0,0,
mcs30_r01_s80.A08,mcs30_r01_s80.B08,ll_none,26,39,6072073117,1000.01,1,80,1488921810,244.133,3639671357,3639671357,0,0,
mcs30_r01_s80.A09,mcs30_r01_s80.B09,ll_none,26,33,5963432031,1000.02,1,80,1503201730,245.557,3526903101,3526903101,0,0,
mcs30_r01_s90.A00,mcs30_r01_s90.B00,ll_none,28,37,5971155569,1000.02,1,90,4723317741,784.568,3550871357,3550871357,0,0,
mcs30_r01_s90.A01,mcs30_r01_s90.B01,ll_none,27,45,5704320037,1000.02,1,90,169130364,28.2739,3345458189,3345458189,0,0,
mcs30_r01_s90.A02,mcs30_r01_s90.B02,ll_none,29,39,5810746519,1000.02,1,90,3800943688,634.451,3484982978,3484982978,0,0,
mcs30_r01_s90.A03,mcs30_r01_s90.B03,ll_none,27,40,5742115342,1000.01,1,90,979891775,163.293,3339939320,3339939320,0,0,
mcs30_r01_s90.A04,mcs30_r01_s90.B04,ll_none,26,42,5851406534,1000.02,1,90,1098614391,184.021,3411889071,3411889071,0,0,
mcs30_r01_s90.A05,mcs30_r01_s90.B05,ll_none,27,39,5567322021,1000.01,1,90,883276843,151.302,3349134549,3349134549,0,0,
mcs30_r01_s90.A06,mcs30_r01_s90.B06,ll_none,28,36,5814683372,1000.02,1,90,3057733576,523.949,3422059649,3422059649,0,0,
mcs30_r01_s90.A07,mcs30_r01_s90.B07,ll_none,28,38,4640879776,1000.01,1,90,540428809,108.116,2722152961,2722152961,0,0,
mcs30_r01_s90.A08,mcs30_r01_s90.B08,ll_none,27,52,5814062678,1000.02,1,90,2709432731,462.492,3407292717,3407292717,0,0,
mcs30_r01_s90.A09,mcs30_r01_s90.B09,ll_none,26,41,4697848506,1000.02,1,90,17374763,3.55069,2776259577,2776259577,0,0,
mcs30_r02_s10.A00,mcs30_r02_s10.B00,ll_none,7,8,418,6.5459e-05,0,10,19,7.702e-06,279,279,0,0,
mcs30_r02_s10.A01,mcs30_r02_s10.B01,ll_none,8,10,403,6.4347e-05,0,10,258,3.2198e-05,263,263,0,0,
mcs30_r02_s10.A02,mcs30_r02_s10.B02,ll_none,8,11,235,4.618e-05,0,10,208,2.5989e-05,157,157,0,0,
mcs30_r02_s10.A03,mcs30_r02_s10.B03,ll_none,8,10,688,9.3801e-05,0,10,671,7.3911e-05,441,441,0,0,
mcs30_r02_s10.A04,mcs30_r02_s10.B04,ll_none,7,9,499,8.1884e-05,0,10,24,1.6755e-05,328,328,0,0,
mcs30_r02_s10.A05,mcs30_r02_s10.B05,ll_none,8,10,342,5.9639e-05,0,10,306,3.4742e-05,219,219,0,0,
mcs30_r02_s10.A06,mcs30_r02_s10.B06,ll_none,7,8,393,6.5198e-05,0,10,69,1.2569e-05,270,270,0,0,
mcs30_r02_s10.A07,mcs30_r02_s10.B07,ll_none,7,9,680,8.7042e-05,0,10,130,1.6695e-05,450,450,0,0,
mcs30_r02_s10.A08,mcs30_r02_s10.B08,ll_none,8,11,123,3.7166e-05,0,10,28,9.103e-06,87,87,0,0,
mcs30_r02_s10.A09,mcs30_r02_s10.B09,ll_none,7,9,884,0.000101272,0,10,114,1.7046e-05,586,586,0,0,
mcs30_r02_s100.A00,mcs30_r02_s100.B00,ll_none,19,56,4836426069,1000.01,1,100,1256308,0.227086,2547603445,2547603445,0,0,
mcs30_r02_s100.A01,mcs30_r02_s100.B01,ll_none,19,47,4876470849,1000.02,1,100,12125367,2.22896,2568350742,2568350742,0,0,
mcs30_r02_s100.A02,mcs30_r02_s100.B02,ll_none,20,60,4897304922,1000.02,1,100,3105965512,613.7,2587500898,2587500898,0,0,
mcs30_r02_s100.A03,mcs30_r02_s100.B03,ll_none,20,57,4694279279,1000.02,1,100,2614566481,538.272,2480347690,2480347690,0,0,
mcs30_r02_s100.A04,mcs30_r02_s100.B04,ll_none,20,55,4514677487,1000.02,1,100,58566560,11.443,2393267345,2393267345,0,0,
mcs30_r02_s100.A05,mcs30_r02_s100.B05,ll_none,20,53,4881445677,1000.02,1,100,4226022422,856.538,2568446846,2568446846,0,0,
mcs30_r02_s100.A06,mcs30_r02_s100.B06,ll_none,20,64,4736404037,1000.02,1,100,3159577492,649.582,2491332922,2491332922,0,0,
mcs30_r02_s100.A07,mcs30_r02_s100.B07,ll_none,20,61,4463479928,1000.01,1,100,534887804,109.79,2356091178,2356091178,0,0,
mcs30_r02_s100.A08,mcs30_r02_s100.B08,ll_none,20,43,4805518051,1000.02,1,100,3648580936,743.181,2544135497,2544135497,0,0,
mcs30_r02_s100.A09,mcs30_r02_s100.B09,ll_none,20,64,4778200450,1000.02,1,100,4632003854,967.181,2505005844,2505005844,0,0,
mcs30_r02_s15.A00,mcs30_r02_s15.B00,ll_none,10,15,8094,0.00104002,0,15,4129,0.000506975,5435,5435,0,0,
mcs30_r02_s15.A01,mcs30_r02_s15.B01,ll_none,10,15,8686,0.00133888,0,15,1618,0.000231149,5537,5537,0,0,
mcs30_r02_s15.A02,mcs30_r02_s15.B02,ll_none,10,18,10793,0.0013109,0,15,7558,0.000883544,6862,6862,0,0,
mcs30_r02_s15.A03,mcs30_r02_s15.B03,ll_none,10,15,6901,0.000817029,0,15,1640,0.000185198,4404,4404,0,0,
mcs30_r02_s15.A04,mcs30_r02_s15.B04,ll_none,10,14,11012,0.0013816,0,15,536,6.8743e-05,7110,7110,0,0,
mcs30_r02_s15.A05,mcs30_r02_s15.B05,ll_none,10,17,9605,0.00115689,0,15,1418,0.000163126,6099,6099,0,0,
mcs30_r02_s15.A06,mcs30_r02_s15.B06,ll_none,10,16,6336,0.00139262,0,15,611,0.00012522,4213,4213,0,0,
mcs30_r02_s15.A07,mcs30_r02_s15.B07,ll_none,10,14,8383,0.00117221,0,15,2689,0.000347064,5467,5467,0,0,
mcs30_r02_s15.A08,mcs30_r02_s15.B08,ll_none,10,16,8923,0.0011168,0,15,797,9.3881e-05,5768,5768,0,0,
