instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_root_ub, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, unified_conflicts,
mcs10_m3D_s60.A00,mcs10_m3D_s60.B00,ll_lsm,38,35,3368379357,1000.02,1,60,2665886171,790.695,2166770323,2166770323,0,1611816215,
mcs10_m3D_s60.A01,mcs10_m3D_s60.B01,ll_lsm,37,34,3577178291,1000.02,1,60,184392251,49.3815,2390914802,2390914802,0,1713309840,
mcs10_m3D_s60.A02,mcs10_m3D_s60.B02,ll_lsm,39,40,5832957991,1000.01,1,60,2399920561,395.873,3915352137,3915352137,0,2917362999,
mcs10_m3D_s60.A03,mcs10_m3D_s60.B03,ll_lsm,37,38,6241232756,1000.01,1,60,128079227,19.6606,4012297584,4012297584,0,2963215565,
mcs10_m3D_s60.A04,mcs10_m3D_s60.B04,ll_lsm,38,37,6412263847,1000.02,1,60,738780466,110.934,4149654424,4149654424,0,3191957196,
mcs10_m3D_s60.A05,mcs10_m3D_s60.B05,ll_lsm,38,35,7192780135,1000.01,1,60,114754021,15.003,4876045421,4876045421,0,3491946738,
mcs10_m3D_s60.A06,mcs10_m3D_s60.B06,ll_lsm,38,36,6926046785,1000.01,1,60,1838204553,253.722,4603543992,4603543992,0,3408283427,
mcs10_m3D_s60.A07,mcs10_m3D_s60.B07,ll_lsm,38,34,7020902275,1000.01,1,60,4288534820,602.389,4667526197,4667526197,0,3399505750,
mcs10_m3D_s60.A08,mcs10_m3D_s60.B08,ll_lsm,38,39,6791373106,1000.02,1,60,31587886,4.27939,4467271227,4467271227,0,3331121266,
mcs10_m3D_s60.A09,mcs10_m3D_s60.B09,ll_lsm,38,38,7085641266,1000.02,1,60,18578954,2.64544,4726597728,4726597728,0,3442455852,
mcs10_m3D_s70.A00,mcs10_m3D_s70.B00,ll_lsm,42,47,6179727460,1000.02,1,70,786272977,121.276,4041386557,4041386557,0,2999123746,
mcs10_m3D_s70.A01,mcs10_m3D_s70.B01,ll_lsm,41,39,7352969150,1000.01,1,70,38050933,5.13682,4791083838,4791083838,0,3342392233,
mcs10_m3D_s70.A02,mcs10_m3D_s70.B02,ll_lsm,43,42,6447575074,1000.01,1,70,2208808609,331.801,4247047180,4247047180,0,3175727439,
mcs10_m3D_s70.A03,mcs10_m3D_s70.B03,ll_lsm,45,43,6407175763,1000.01,1,70,495565478,71.4231,4335109465,4335109465,0,3303437284,
mcs10_m3D_s70.A04,mcs10_m3D_s70.B04,ll_lsm,43,42,7409041067,1000,1,70,1304830750,179.842,4955629436,4955629436,0,3486202751,
mcs10_m3D_s70.A05,mcs10_m3D_s70.B05,ll_lsm,42,36,7852732040,1000,1,70,642940669,73.914,5188510177,5188510177,0,3906127713,
mcs10_m3D_s70.A06,mcs10_m3D_s70.B06,ll_lsm,43,38,6883317136,1000,1,70,4620116229,668.608,4570606494,4570606494,0,3413679479,
mcs10_m3D_s70.A07,mcs10_m3D_s70.B07,ll_lsm,44,41,7108134410,1000,1,70,1572457679,202.75,4692183035,4692183035,0,3331287998,
mcs10_m3D_s70.A08,mcs10_m3D_s70.B08,ll_lsm,44,41,6684641193,1000,1,70,3529078476,507.146,4293156968,4293156968,0,3158432255,
mcs10_m3D_s70.A09,mcs10_m3D_s70.B09,ll_lsm,44,42,7033784548,1000,1,70,736197938,95.5764,4727897365,4727897365,0,3349609828,
mcs10_m3D_s80.A00,mcs10_m3D_s80.B00,ll_lsm,50,44,6732594841,1000,1,80,3373795898,492.648,4350329086,4350329086,0,3203149386,
mcs10_m3D_s80.A01,mcs10_m3D_s80.B01,ll_lsm,48,47,6348537929,1000.01,1,80,3308894153,509.258,3985366725,3985366725,0,2910341032,
mcs10_m3D_s80.A02,mcs10_m3D_s80.B02,ll_lsm,49,48,6540726817,1000,1,80,4747798398,723.892,4170394396,4170394396,0,3041388474,
mcs10_m3D_s80.A03,mcs10_m3D_s80.B03,ll_lsm,49,45,6625056827,1000.02,1,80,3405562670,496.427,4270009828,4270009828,0,3114477352,
