instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned
mcs30_b06m_s50.A03,mcs30_b06m_s50.B03,ll_lum,30,28,6465433403,1000.02,1,3122102028,467.593,4349054726,4349054726,0
mcs30_b06m_s50.A04,mcs30_b06m_s50.B04,ll_lum,29,29,6454377240,1000.02,1,69595619,10.7783,4272490730,4272490730,0
mcs30_b06m_s50.A05,mcs30_b06m_s50.B05,ll_lum,30,33,6340510523,1000.02,1,1629888202,248.957,4300661208,4300661208,0
mcs30_b06m_s50.A06,mcs30_b06m_s50.B06,ll_lum,30,30,6229000984,1000.02,1,4794035934,768.7,4079419468,4079419468,0
mcs30_b06m_s50.A07,mcs30_b06m_s50.B07,ll_lum,30,29,6319668624,1000.02,1,3561999717,553.186,4117737407,4117737407,0
mcs30_b06m_s50.A08,mcs30_b06m_s50.B08,ll_lum,30,29,6516850948,1000.02,1,206747185,28.9144,4363857359,4363857359,0
mcs30_b06m_s50.A09,mcs30_b06m_s50.B09,ll_lum,29,30,6354549690,1000.02,1,326149370,49.1694,4207304532,4207304532,0
mcs30_b06m_s60.A00,mcs30_b06m_s60.B00,ll_lum,33,36,6479096375,1000.02,1,1480836620,223.461,4155295942,4155295942,0
mcs30_b06m_s60.A01,mcs30_b06m_s60.B01,ll_lum,36,32,6474630064,1000.01,1,5745468887,879.936,4373902974,4373902974,0
mcs30_b06m_s60.A02,mcs30_b06m_s60.B02,ll_lum,34,30,6592131831,1000.02,1,1251118405,181.203,4378833522,4378833522,0
mcs30_b06m_s60.A03,mcs30_b06m_s60.B03,ll_lum,34,35,6500624022,1000.02,1,2260037166,343.051,4269417511,4269417511,0
mcs30_b06m_s60.A04,mcs30_b06m_s60.B04,ll_lum,34,37,6847364994,1000.01,1,160917557,20.8634,4576306114,4576306114,0
mcs30_b06m_s60.A05,mcs30_b06m_s60.B05,ll_lum,34,36,6570569425,1000.02,1,607558212,88.0233,4328789961,4328789961,0
mcs30_b06m_s60.A06,mcs30_b06m_s60.B06,ll_lum,34,36,6369741511,1000.01,1,1605510299,246.311,4275689359,4275689359,0
mcs30_b06m_s60.A07,mcs30_b06m_s60.B07,ll_lum,35,35,6311586660,1000.02,1,5631639943,892.515,4194898309,4194898309,0
mcs30_b06m_s60.A08,mcs30_b06m_s60.B08,ll_lum,35,35,6763027423,1000.01,1,168815545,23.9142,4502688855,4502688855,0
mcs30_b06m_s60.A09,mcs30_b06m_s60.B09,ll_lum,35,37,6429854069,1000.02,1,1330139902,200.748,4302620670,4302620670,0
