instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_root_ub, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, unified_conflicts,
mcs30_r005_s90.A07,mcs30_r005_s90.B07,symsplit_varonly,37,46,7139782683,1000.02,1,90,25844474,3.44141,4532997888,4532997888,20739142,0,
mcs30_r005_s90.A08,mcs30_r005_s90.B08,symsplit_varonly,41,47,6713129811,1000.02,1,90,1062934817,154.737,4217481028,4217481028,16010043,0,
mcs30_r005_s90.A09,mcs30_r005_s90.B09,symsplit_varonly,39,50,6800479938,1000.02,1,90,222683986,29.5755,4133852186,4133852186,11793543,0,
mcs30_r01_s10.A00,mcs30_r01_s10.B00,symsplit_varonly,9,9,55,3.7035e-05,0,10,44,9.314e-06,29,29,21,0,
mcs30_r01_s10.A01,mcs30_r01_s10.B01,symsplit_varonly,8,7,270,5.3821e-05,0,10,8,4.086e-06,170,170,3,0,
mcs30_r01_s10.A02,mcs30_r01_s10.B02,symsplit_varonly,8,6,84,4.8403e-05,0,10,20,7.602e-06,56,56,15,0,
mcs30_r01_s10.A03,mcs30_r01_s10.B03,symsplit_varonly,8,5,175,4.7802e-05,0,10,122,1.6094e-05,102,102,56,0,
mcs30_r01_s10.A04,mcs30_r01_s10.B04,symsplit_varonly,8,7,94,4.8203e-05,0,10,8,5.248e-06,64,64,19,0,
mcs30_r01_s10.A05,mcs30_r01_s10.B05,symsplit_varonly,8,8,74,3.6946e-05,0,10,8,3.846e-06,49,49,10,0,
mcs30_r01_s10.A06,mcs30_r01_s10.B06,symsplit_varonly,8,6,327,6.2114e-05,0,10,204,2.1082e-05,204,204,10,0,
mcs30_r01_s10.A07,mcs30_r01_s10.B07,symsplit_varonly,8,7,152,4.9594e-05,0,10,13,6.07e-06,102,102,13,0,
mcs30_r01_s10.A08,mcs30_r01_s10.B08,symsplit_varonly,8,8,103,4.625e-05,0,10,32,7.591e-06,62,62,16,0,
mcs30_r01_s10.A09,mcs30_r01_s10.B09,symsplit_varonly,7,5,305,6.5909e-05,0,10,27,7.13e-06,168,168,136,0,
mcs30_r01_s100.A00,mcs30_r01_s100.B00,symsplit_varonly,28,41,5779612144,1000.01,1,100,3496732930,586.197,3382753715,3382753715,2060165,0,
mcs30_r01_s100.A01,mcs30_r01_s100.B01,symsplit_varonly,28,49,5548894523,1000.01,1,100,218452083,36.2406,3196704859,3196704859,1473783,0,
mcs30_r01_s100.A02,mcs30_r01_s100.B02,symsplit_varonly,27,46,5514465528,1000.01,1,100,26315147,4.4826,3166408532,3166408532,1517192,0,
mcs30_r01_s100.A03,mcs30_r01_s100.B03,symsplit_varonly,28,37,5688864259,1000.02,1,100,1772173452,304.965,3399236316,3399236316,2933238,0,
mcs30_r01_s100.A04,mcs30_r01_s100.B04,symsplit_varonly,27,45,5759363652,1000.02,1,100,109062720,17.6503,3387083137,3387083137,1473371,0,
mcs30_r01_s100.A05,mcs30_r01_s100.B05,symsplit_varonly,28,45,5473638714,1000.01,1,100,59950883,9.86123,3143812953,3143812953,1226254,0,
mcs30_r01_s100.A06,mcs30_r01_s100.B06,symsplit_varonly,28,47,2907490301,1000.01,1,100,370304959,118.823,1691850879,1691850879,462900,0,
mcs30_r01_s100.A07,mcs30_r01_s100.B07,symsplit_varonly,28,48,2709340554,1000.02,1,100,314815081,110.413,1569762980,1569762980,458778,0,
mcs30_r01_s100.A08,mcs30_r01_s100.B08,symsplit_varonly,28,45,2721601164,1000.02,1,100,862549359,303.055,1578050493,1578050493,983816,0,
mcs30_r01_s100.A09,mcs30_r01_s100.B09,symsplit_varonly,28,50,2783011745,1000.02,1,100,398626104,142.197,1631409053,1631409053,1160114,0,
mcs30_r01_s15.A00,mcs30_r01_s15.B00,symsplit_varonly,11,11,4913,0.00102915,0,15,461,0.000108543,3093,3093,62,0,
mcs30_r01_s15.A01,mcs30_r01_s15.B01,symsplit_varonly,11,9,7028,0.000668872,0,15,1682,0.000153761,4359,4359,80,0,
mcs30_r01_s15.A02,mcs30_r01_s15.B02,symsplit_varonly,11,10,3992,0.00040786,0,15,813,7.8187e-05,2517,2517,73,0,
mcs30_r01_s15.A03,mcs30_r01_s15.B03,symsplit_varonly,11,9,3354,0.000330245,0,15,2109,0.000188122,2096,2096,319,0,
mcs30_r01_s15.A04,mcs30_r01_s15.B04,symsplit_varonly,11,10,4592,0.000437695,0,15,2565,0.000246579,3023,3023,213,0,
mcs30_r01_s15.A05,mcs30_r01_s15.B05,symsplit_varonly,11,11,6262,0.00126555,0,15,1938,0.000366768,3963,3963,93,0,
mcs30_r01_s15.A06,mcs30_r01_s15.B06,symsplit_varonly,11,13,3255,0.000353221,0,15,52,1.1868e-05,2051,2051,70,0,
mcs30_r01_s15.A07,mcs30_r01_s15.B07,symsplit_varonly,12,11,1789,0.00018581,0,15,1189,0.0001,1159,1159,46,0,
mcs30_r01_s15.A08,mcs30_r01_s15.B08,symsplit_varonly,11,11,6079,0.000601806,0,15,2629,0.000238589,3812,3812,112,0,
mcs30_r01_s15.A09,mcs30_r01_s15.B09,symsplit_varonly,11,11,4986,0.000732282,0,15,1417,0.000148964,3098,3098,47,0,
mcs30_r01_s20.A00,mcs30_r01_s20.B00,symsplit_varonly,14,15,116367,0.0125055,0,20,33573,0.00339076,74491,74491,154,0,
